house,state,mp_name,constituency,vendor_name,payment_status,work_title,work_id,expenditure_date,disbursed_amount,log_amount,mean,std,state_log_deviation,vendor_count,vendor_mean,vendor_count_log,vendor_mean_ratio,anomaly_prediction,anomaly_score,is_anomaly
Rajya Sabha,Karnataka,Shri Ajay Makan (2024-30) (2024-2030),,Kodagu Nirmithi Kendra,Payment Success,Construction of buildings for training institutions,WS/MP18421/2025-2026/248277,2025-12-09,14962000.0,7.174989679433833,5.330132366384682,0.5548164189387811,3.325167118481968,37.0,1192891.8918918918,3.6375861597263857,12.54262863357274,-1,-0.1359165551815822,True
Lok Sabha,Uttar Pradesh,RAKESH RATHOR,SITAPUR,MANNAT CONSTRUCTION,Payment Success,Lighting of public spaces,WS/MP18241/2025-2026/214632,2025-11-12,4257140.0,6.629118034604633,5.2394868954404945,0.5548947427641531,2.5043148403998727,259.0,200486.14671814672,5.560681631015528,21.234085594876024,-1,-0.13529432434150668,True
Rajya Sabha,Uttar Pradesh,Shri Mithlesh Kumar (2022-28) (2022-2028),,HIDAYA QIRAT ENTERPRISES,Payment Success,Lighting of public spaces,WS/MP190/2024-2025/135992,2024-09-21,4617000.0,6.664359968615346,5.2394868954404945,0.5548947427641531,2.567825865635324,390.0,562991.2692307692,5.968707559985366,8.200837654744339,-1,-0.13415719364389178,True
Rajya Sabha,Uttar Pradesh,Shri Ramji (2020-26) (2020-2026),,A TO Z ASSOCIATES,Payment Success,Lighting of public spaces,WS/MP198/2025-2026/204743,2025-10-12,5942987.0,6.774004853337623,5.2394868954404945,0.5548947427641531,2.76542169106357,104.0,527142.7884615385,4.653960350157523,11.273960547472448,-1,-0.13414852301996283,True
Lok Sabha,Meghalaya,SALENG A SANGMA,TURA,Aiok M Sangma,Payment Success,Providing supply pipelines for drinking water,WS/MP18309/2024-2025/155212,2025-05-23,4000000.0,6.6020600999015695,5.195006746024337,0.33394939147652103,4.2133730133661835,64.0,414062.5,4.174387269895637,9.660377358490566,-1,-0.1337483570893463,True
Lok Sabha,Meghalaya,SALENG A SANGMA,TURA,Aiok M Sangma,Payment Success,Providing supply pipelines for drinking water,WS/MP18309/2024-2025/155216,2025-05-22,4000000.0,6.6020600999015695,5.195006746024337,0.33394939147652103,4.2133730133661835,64.0,414062.5,4.174387269895637,9.660377358490566,-1,-0.1337483570893463,True
Rajya Sabha,Uttar Pradesh,Shri Brij Lal (2020-26) (2020-2026),,DPS PUBLISHING HOUSE,Payment Success,Purchase of books and periodicals for libraries/digitization of library books,WS/MP196/2025-2026/208469,2026-04-02,5000000.0,6.698970091194907,5.2394868954404945,0.5548947427641531,2.630198275954358,117.0,263971.905982906,4.770684624465665,18.94140962229437,-1,-0.13341629823818069,True
Rajya Sabha,Uttar Pradesh,Shri Brij Lal (2020-26) (2020-2026),,DPS PUBLISHING HOUSE,Payment Success,Purchase of books and periodicals for libraries/digitization of library books,WS/MP196/2025-2026/142762,2025-05-09,5000000.0,6.698970091194907,5.2394868954404945,0.5548947427641531,2.630198275954358,117.0,263971.905982906,4.770684624465665,18.94140962229437,-1,-0.13341629823818069,True
Rajya Sabha,Uttar Pradesh,Smt. Seema Dwivedi (2020-26) (2020-2026),,DPS PUBLISHING HOUSE,Payment Success,Purchase of books for public libraries/ digitization of library books,WS/MP202/2023-2024/57909,2024-10-26,5000000.0,6.698970091194907,5.2394868954404945,0.5548947427641531,2.630198275954358,117.0,263971.905982906,4.770684624465665,18.94140962229437,-1,-0.13341629823818069,True
Lok Sabha,Uttar Pradesh,PRIYA SAROJ,MACHHLISHAHR(SC),BHAGWATI CHAND,Payment Success,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18228/2024-2025/140103,2025-03-18,2529760.0,6.403079493000277,5.2394868954404945,0.5548947427641531,2.0969609331014047,789.0,44727.334600760456,6.672032945461067,56.559596555011105,-1,-0.13333050689015524,True
Lok Sabha,Uttar Pradesh,ANAND KUMAR,BAHRAICH(SC),DPS PUBLISHING HOUSE,Payment Success,Purchase of books and periodicals for libraries/digitization of library books,WS/MP18204/2026-2027/243753,2026-07-13,3987912.0,6.600745675208308,5.2394868954404945,0.5548947427641531,2.4531837749747596,117.0,263971.905982906,4.770684624465665,15.107334945932635,-1,-0.1313718901051656,True
Lok Sabha,Uttar Pradesh,VIRENDRA SINGH,CHANDAULI,HIDAYA QIRAT ENTERPRISES,Payment Success,Lighting of public spaces,WS/MP18210/2025-2026/212736,2025-08-06,4276800.0,6.631119042959046,5.2394868954404945,0.5548947427641531,2.507920944765622,390.0,562991.2692307692,5.968707559985366,7.5965654065000185,-1,-0.1310896528198876,True
Rajya Sabha,Uttar Pradesh,Shri Javed Ali Khan (2022-28) (2022-2028),,HIDAYA QIRAT ENTERPRISES,Payment Success,Lighting of public spaces,WS/MP187/2024-2025/145576,2024-10-28,4245000.0,6.627877796887258,5.2394868954404945,0.5548947427641531,2.5020797539559165,390.0,562991.2692307692,5.968707559985366,7.540081404459544,-1,-0.1310896528198876,True
Rajya Sabha,Uttar Pradesh,Shri Mithlesh Kumar (2022-28) (2022-2028),,HIDAYA QIRAT ENTERPRISES,Payment Success,Lighting of public spaces,WS/MP190/2024-2025/135992,2024-09-18,4374000.0,6.640878877991612,5.2394868954404945,0.5548947427641531,2.5255095688422315,390.0,562991.2692307692,5.968707559985366,7.76921462028411,-1,-0.1310896528198876,True
Rajya Sabha,Uttar Pradesh,Shri Mithlesh Kumar (2022-28) (2022-2028),,HIDAYA QIRAT ENTERPRISES,Payment Success,Lighting of public spaces,WS/MP190/2024-2025/135992,2024-09-21,4131000.0,6.616055300107167,5.2394868954404945,0.5548947427641531,2.48077391724678,390.0,562991.2692307692,5.968707559985366,7.337591585823882,-1,-0.1310896528198876,True
Rajya Sabha,Uttar Pradesh,Smt. Darshana Singh (2022-28) (2022-2028),,HIDAYA QIRAT ENTERPRISES,Payment Success,Lighting of public spaces,WS/MP203/2024-2025/136216,2024-10-01,3904000.0,6.591509920238104,5.2394868954404945,0.5548947427641531,2.4365396184195958,390.0,562991.2692307692,5.968707559985366,6.934388175031817,-1,-0.1310896528198876,True
Rajya Sabha,Jammu And Kashmir,Shri Gulam Ali (2022-28) (2022-2028),,COMPUTER SOLUTIONS,Payment Success,Lighting of public spaces,WS/MP839/2025-2026/191381,2025-05-17,5346000.0,6.728029035657788,5.368253220391357,0.4197357532673082,3.2395996878551814,102.0,738529.4117647059,4.634728988229636,7.2387096774193544,-1,-0.13064969030019313,True
Rajya Sabha,Uttar Pradesh,Shri Mithlesh Kumar (2022-28) (2022-2028),,HIDAYA QIRAT ENTERPRISES,Payment Success,Lighting of public spaces,WS/MP190/2024-2025/135992,2024-09-24,3888000.0,6.589726367955478,5.2394868954404945,0.5548947427641531,2.4333254011182373,390.0,562991.2692307692,5.968707559985366,6.905968551363653,-1,-0.13040966654155373,True
Rajya Sabha,Karnataka,Shri Jaggesh (2022-28) (2022-2028),,KRIDL BHUSIRI ACCOUNT WORKS,Payment Success,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP084/2024-2025/139541,2024-12-31,5000000.0,6.698970091194907,5.330132366384682,0.5548164189387811,2.467190367993172,355.0,701098.1633802817,5.87493073085203,7.13166894617574,-1,-0.1294411833465572,True
Rajya Sabha,Uttar Pradesh,Smt. Darshana Singh (2022-28) (2022-2028),,SANSKRITI AGROSCIENCE PRIVATE LIMITED,Payment Success,Construction of bus-sheds or bus-stops,WS/MP203/2023-2024/10748,2025-01-20,5002096.0,6.699152109256996,5.2394868954404945,0.5548947427641531,2.630526298636971,43.0,454208.3488372093,3.784189633918261,11.012778635191442,-1,-0.12937161598104585,True
Rajya Sabha,Himachal Pradesh,Dr. Sikander Kumar (2022-28) (2022-2028),,Mittal Book Agency,Payment Success,Purchase of books for public libraries/ digitization of library books,WS/MP078/2024-2025/154573,2024-12-18,2000000.0,6.301030212811168,5.0357558139091765,0.3981897135113444,3.1775667626982624,190.0,31497.56842105263,5.25227342804663,63.496965012169696,-1,-0.12934869499968826,True
Rajya Sabha,Himachal Pradesh,Dr. Sikander Kumar (2022-28) (2022-2028),,Mittal Book Agency,Payment Success,Purchase of books and periodicals for libraries/digitization of library books,WS/MP078/2025-2026/220893,2025-10-17,1994538.0,6.299842532658493,5.0357558139091765,0.3981897135113444,3.174584063466278,190.0,31497.56842105263,5.25227342804663,63.32355480072146,-1,-0.12934869499968826,True
Lok Sabha,Uttar Pradesh,VIRENDRA SINGH,CHANDAULI,BIHARI JI MAHADEV ASSOCIATES,Payment Success,Lighting of public spaces,WS/MP18210/2024-2025/154376,2025-01-13,5368000.0,6.729812588065266,5.2394868954404945,0.5548947427641531,2.6857808837778165,193.0,649899.8445595854,5.267858159063328,8.259734242031874,-1,-0.12870435816683767,True
Lok Sabha,Uttar Pradesh,RAMBHUAL NISHAD,SULTANPUR,Priyanka yadau,Payment Success,Lighting of public spaces,WS/MP18242/2025-2026/156951,2025-07-26,7534461.0,6.877052246859941,5.2394868954404945,0.5548947427641531,2.9511278900608744,26.0,530727.5,3.295836866004329,14.196477476671173,-1,-0.12767486742652,True
Rajya Sabha,Uttar Pradesh,Smt. Sangeeta Yadav (2022-28) (2022-2028),,P S ASSOCIATE,Payment Success,Lighting of public spaces,WS/MP201/2025-2026/238283,2025-12-30,8048825.0,6.905732538889097,5.2394868954404945,0.5548947427641531,3.0028138943042886,32.0,1130380.1875,3.4965075614664802,7.12045831040364,-1,-0.12594332951467502,True
Rajya Sabha,Uttar Pradesh,Smt. Sangeeta Yadav (2022-28) (2022-2028),,P S ASSOCIATE,Payment Success,Lighting of public spaces,WS/MP201/2025-2026/238287,2026-05-14,8014095.0,6.903854540495052,5.2394868954404945,0.5548947427641531,2.9994294715492806,32.0,1130380.1875,3.4965075614664802,7.089734134251181,-1,-0.12594332951467502,True
Lok Sabha,Uttar Pradesh,Shri Arun Kumar Sagar,SHAHJAHANPUR(SC),RMK ENTERPRISES,Payment Success,Lighting of public spaces,WS/MP492/2024-2025/134984,2024-09-04,5346000.0,6.728029035657788,5.2394868954404945,0.5548947427641531,2.6825666662514562,165.0,752549.0303030303,5.111987788356544,7.103856074131564,-1,-0.12399206431784426,True
Rajya Sabha,Uttar Pradesh,Shri Javed Ali Khan (2022-28) (2022-2028),,HIDAYA QIRAT ENTERPRISES,Payment Success,Lighting of public spaces,WS/MP187/2026-2027/283439,2026-06-16,3744000.0,6.57333595606351,5.2394868954404945,0.5548947427641531,2.403787525501826,390.0,562991.2692307692,5.968707559985366,6.650191938350185,-1,-0.12354978418480034,True
Rajya Sabha,Uttar Pradesh,Shri Javed Ali Khan (2022-28) (2022-2028),,HIDAYA QIRAT ENTERPRISES,Payment Success,Lighting of public spaces,WS/MP187/2024-2025/145576,2024-11-04,3679000.0,6.565729905877994,5.2394868954404945,0.5548947427641531,2.3900803309668275,390.0,562991.2692307692,5.968707559985366,6.534737217198272,-1,-0.12354978418480034,True
Rajya Sabha,Uttar Pradesh,Shri Mithlesh Kumar (2022-28) (2022-2028),,HIDAYA QIRAT ENTERPRISES,Payment Success,Lighting of public spaces,WS/MP190/2024-2025/135992,2024-09-21,3645000.0,6.561697651801983,5.2394868954404945,0.5548947427641531,2.382813630158085,390.0,562991.2692307692,5.968707559985366,6.4743455169034245,-1,-0.12287659666862027,True
Rajya Sabha,Uttar Pradesh,Smt. Darshana Singh (2022-28) (2022-2028),,HIDAYA QIRAT ENTERPRISES,Payment Success,Lighting of public spaces,WS/MP203/2024-2025/136216,2024-10-01,3660000.0,6.563481204054089,5.2394868954404945,0.5548947427641531,2.386027847404443,390.0,562991.2692307692,5.968707559985366,6.500988914092328,-1,-0.12287659666862027,True
Rajya Sabha,Uttar Pradesh,Shri Javed Ali Khan (2022-28) (2022-2028),,HIDAYA QIRAT ENTERPRISES,Payment Success,Lighting of public spaces,WS/MP187/2026-2027/283439,2026-06-23,3494400.0,6.543372740971597,5.2394868954404945,0.5548947427641531,2.3497895096931796,390.0,562991.2692307692,5.968707559985366,6.206845809126839,-1,-0.12254023057679142,True
Rajya Sabha,Uttar Pradesh,Shri Ramji (2020-26) (2020-2026),,BALAJI SUPPLIER,Payment Success,Lighting of public spaces,WS/MP198/2023-2024/56888,2024-02-14,3395993.0,6.530966914266499,5.2394868954404945,0.5548947427641531,2.3274324287028296,158.0,394371.7088607595,5.0689042022202315,8.611147614544075,-1,-0.1223994883333146,True
Rajya Sabha,Uttar Pradesh,Shri Ramji (2020-26) (2020-2026),,A TO Z ASSOCIATES,Payment Success,Lighting of public spaces,WS/MP198/2025-2026/204743,2025-08-04,4244991.0,6.627876876120813,5.2394868954404945,0.5548947427641531,2.5020780946025756,104.0,527142.7884615385,4.653960350157523,8.052829504485812,-1,-0.12217903578084721,True
Rajya Sabha,Uttar Pradesh,Shri Ramji (2020-26) (2020-2026),,A TO Z ASSOCIATES,Payment Success,Lighting of public spaces,WS/MP198/2025-2026/208989,2025-12-11,4244991.0,6.627876876120813,5.2394868954404945,0.5548947427641531,2.5020780946025756,104.0,527142.7884615385,4.653960350157523,8.052829504485812,-1,-0.12217903578084721,True
Rajya Sabha,Uttar Pradesh,Smt. Darshana Singh (2022-28) (2022-2028),,BIHARI JI MAHADEV ASSOCIATES,Payment Success,Lighting of public spaces,WS/MP203/2023-2024/14681,2023-09-27,5124008.0,6.7096098838843,5.2394868954404945,0.5548947427641531,2.64937271007567,193.0,649899.8445595854,5.267858159063328,7.884304086074005,-1,-0.12152733592266074,True
Rajya Sabha,Uttar Pradesh,Shri Mithlesh Kumar (2022-28) (2022-2028),,HIDAYA QIRAT ENTERPRISES,Payment Success,Lighting of public spaces,WS/MP190/2024-2025/135992,2024-09-24,3402000.0,6.53173443693511,5.2394868954404945,0.5548947427641531,2.328815614754993,390.0,562991.2692307692,5.968707559985366,6.042722482443197,-1,-0.12086067404379641,True
Rajya Sabha,Uttar Pradesh,Shri Neeraj Shekhar (2020-26) (2020-2026),,BIHARI JI MAHADEV ASSOCIATES,Payment Success,Lighting of public spaces,WS/MP197/2024-2025/149134,2024-12-02,4860000.0,6.686636358623288,5.2394868954404945,0.5548947427641531,2.607971118944041,193.0,649899.8445595854,5.267858159063328,7.478075338352255,-1,-0.12085597206487175,True
Lok Sabha,Uttar Pradesh,Shri Arun Kumar Sagar,SHAHJAHANPUR(SC),BIHARI JI MAHADEV ASSOCIATES,Payment Success,Lighting of public spaces,WS/MP492/2025-2026/194809,2025-06-02,4617000.0,6.664359968615346,5.2394868954404945,0.5548947427641531,2.567825865635324,193.0,649899.8445595854,5.267858159063328,7.104171571434643,-1,-0.12085597206487175,True
Rajya Sabha,Tamil Nadu,Shri P. Chidambaram (2022-28) (2022-2028),,D GANESAN ALANGADU,Payment Success,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",WS/MP165/2023-2024/95942,2024-02-23,6348977.0,6.8027038221924565,5.7177282197633845,0.4497060558405531,2.4126328483638626,24.0,763431.4166666666,3.2188758248682006,8.316368519023266,-1,-0.12059770717638252,True
Lok Sabha,Uttar Pradesh,VIRENDRA SINGH,CHANDAULI,HIDAYA QIRAT ENTERPRISES,Payment Success,Lighting of public spaces,WS/MP18210/2025-2026/212736,2025-08-06,3326400.0,6.521974602547283,5.2394868954404945,0.5548947427641531,2.311226991840297,390.0,562991.2692307692,5.968707559985366,5.908439760611126,-1,-0.11951975342963872,True
Lok Sabha,Madhya Pradesh,Ganesh Singh,SATNA,RM MP AGRO SATNA,Payment Success,Purchase of mobile water tankers,WS/MP642/2025-2026/213630,2025-10-13,2941600.0,6.468583764499645,5.188665529226982,0.4692888662406491,2.7273569167019764,56.0,212685.01785714287,4.04305126783455,13.830781451544583,-1,-0.11895307854238046,True
Lok Sabha,Karnataka,SUNIL BOSE,CHAMARAJANAGAR(SC),Mysore Nirmithi Kendra,Payment Success,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18080/2025-2026/182042,2025-08-22,3750000.0,6.574031383539565,5.330132366384682,0.5548164189387811,2.2420010920623756,171.0,394225.1461988304,5.147494476813453,9.512330799184127,-1,-0.11877120310787281,True
Lok Sabha,Madhya Pradesh,DR. LATA WANKHEDE,SAGAR,MAHALAXMI INDUSTRIES,Payment Success,Construction of bus-sheds or bus-stops,WS/MP18108/2025-2026/197482,2025-07-14,2599420.0,6.414876623160089,5.188665529226982,0.4692888662406491,2.6129132441516574,121.0,274147.3388429752,4.804021044733257,9.481835610627186,-1,-0.11846194211995653,True
Lok Sabha,Madhya Pradesh,DR. LATA WANKHEDE,SAGAR,MAHALAXMI INDUSTRIES,Payment Success,Construction of bus-sheds or bus-stops,WS/MP18108/2025-2026/229750,2025-11-28,2599420.0,6.414876623160089,5.188665529226982,0.4692888662406491,2.6129132441516574,121.0,274147.3388429752,4.804021044733257,9.481835610627186,-1,-0.11846194211995653,True
Lok Sabha,Madhya Pradesh,DR. LATA WANKHEDE,SAGAR,MAHALAXMI INDUSTRIES,Payment Success,Construction of bus-sheds or bus-stops,WS/MP18108/2025-2026/195805,2025-06-24,2599420.0,6.414876623160089,5.188665529226982,0.4692888662406491,2.6129132441516574,121.0,274147.3388429752,4.804021044733257,9.481835610627186,-1,-0.11846194211995653,True
Lok Sabha,Madhya Pradesh,DR. LATA WANKHEDE,SAGAR,MAHALAXMI INDUSTRIES,Payment Success,Construction of bus-sheds or bus-stops,WS/MP18108/2025-2026/220723,2025-08-19,2599420.0,6.414876623160089,5.188665529226982,0.4692888662406491,2.6129132441516574,121.0,274147.3388429752,4.804021044733257,9.481835610627186,-1,-0.11846194211995653,True
Lok Sabha,Madhya Pradesh,DR. LATA WANKHEDE,SAGAR,MAHALAXMI INDUSTRIES,Payment Success,Construction of bus-sheds or bus-stops,WS/MP18108/2025-2026/229751,2025-10-16,2599420.0,6.414876623160089,5.188665529226982,0.4692888662406491,2.6129132441516574,121.0,274147.3388429752,4.804021044733257,9.481835610627186,-1,-0.11846194211995653,True
Lok Sabha,Madhya Pradesh,DR. LATA WANKHEDE,SAGAR,MAHALAXMI INDUSTRIES,Payment Success,Construction of bus-sheds or bus-stops,WS/MP18108/2025-2026/206777,2025-07-29,2599420.0,6.414876623160089,5.188665529226982,0.4692888662406491,2.6129132441516574,121.0,274147.3388429752,4.804021044733257,9.481835610627186,-1,-0.11846194211995653,True
Lok Sabha,Uttar Pradesh,Shri Arun Kumar Sagar,SHAHJAHANPUR(SC),BIHARI JI MAHADEV ASSOCIATES,Payment Success,Lighting of public spaces,WS/MP492/2025-2026/194809,2025-06-02,4374000.0,6.640878877991612,5.2394868954404945,0.5548947427641531,2.5255095688422315,193.0,649899.8445595854,5.267858159063328,6.730267804517029,-1,-0.11817656492111606,True
Rajya Sabha,Uttar Pradesh,Smt. Darshana Singh (2022-28) (2022-2028),,BIHARI JI MAHADEV ASSOCIATES,Payment Success,Lighting of public spaces,WS/MP203/2024-2025/155319,2025-01-13,4392000.0,6.642662430325103,5.2394868954404945,0.5548947427641531,2.528723786235258,193.0,649899.8445595854,5.267858159063328,6.75796437984426,-1,-0.11817656492111606,True
Lok Sabha,West Bengal,JAGADISH CHANDRA BARMA BASUNIA,COOCHBEHAR(SC),B PAUL AND CO,Payment Success,"Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",WS/MP18271/2025-2026/167569,2025-12-19,3615050.0,6.558114428563424,5.595904606090499,0.4383067199146974,2.195288775540993,103.0,313240.4077669903,4.6443908991413725,11.54081628794559,-1,-0.11799243755095445,True
Lok Sabha,Uttar Pradesh,Shri Arun Kumar Sagar,SHAHJAHANPUR(SC),RMK ENTERPRISES,Payment Success,Lighting of public spaces,WS/MP492/2024-2025/134984,2024-09-03,4617000.0,6.664359968615346,5.2394868954404945,0.5548947427641531,2.567825865635324,165.0,752549.0303030303,5.111987788356544,6.135148427659078,-1,-0.11785866926934063,True
Lok Sabha,Uttar Pradesh,VIRENDRA SINGH,CHANDAULI,RMK ENTERPRISES,Payment Success,Lighting of public spaces,WS/MP18210/2025-2026/244721,2025-12-15,4752000.0,6.676876523365064,5.2394868954404945,0.5548947427641531,2.590382494460762,165.0,752549.0303030303,5.111987788356544,6.31453873256139,-1,-0.11785866926934063,True
