sr_no,state,constituency,mp_name,work,completion_date,work_status
56,Bihar,Constituency_286,MP_Name_286,BR/757/2022-2023/2611 - Construction of Health facility,02-02-2024,Completed
57,Tamil Nadu,Constituency_186,MP_Name_186,TN/804/2022-2023/2048 - Construction of Education facility,29-04-2022,Completed
58,West Bengal,Constituency_113,MP_Name_113,WB/252/2021-2022/1626 - Construction of Education facility,30-10-2022,Completed
59,Madhya Pradesh,Constituency_253,MP_Name_253,MP/171/2022-2023/2440 - Construction of Electricity facility,28-03-2021,Completed
60,Karnataka,Constituency_71,MP_Name_71,KA/988/2023-2024/1402 - Construction of Health facility,14-03-2023,Completed
61,Uttar Pradesh,Constituency_147,MP_Name_147,UP/100/2021-2022/1809 - Construction of Roads facility,05-09-2024,Completed
62,Rajasthan,Constituency_160,MP_Name_160,RJ/977/2022-2023/1888 - Construction of Electricity facility,19-05-2023,Completed
63,Delhi,Constituency_59,MP_Name_59,DL/444/2022-2023/1326 - Construction of Electricity facility,30-12-2024,Completed
64,Tamil Nadu,Constituency_161,MP_Name_161,TN/760/2022-2023/1899 - Construction of Roads facility,01-05-2021,Completed
65,Madhya Pradesh,Constituency_527,MP_Name_527,MP/927/2022-2023/3929 - Construction of Education facility,19-11-2023,Completed
66,Bihar,Constituency_504,MP_Name_504,BR/937/2023-2024/3800 - Construction of Sanitation facility,27-06-2024,Completed
67,Rajasthan,Constituency_332,MP_Name_332,RJ/413/2023-2024/2865 - Construction of Roads facility,21-05-2024,Completed
68,Madhya Pradesh,Constituency_47,MP_Name_47,MP/866/2023-2024/1258 - Construction of Education facility,31-12-2024,Completed
69,Rajasthan,Constituency_165,MP_Name_165,RJ/802/2021-2022/1923 - Construction of Roads facility,25-03-2022,Completed
70,Bihar,Constituency_448,MP_Name_448,BR/416/2021-2022/3495 - Construction of Drinking Water facility,17-11-2022,Completed
71,Uttar Pradesh,Constituency_2,MP_Name_2,UP/653/2021-2022/1013 - Construction of Sanitation facility,01-12-2022,Completed
72,West Bengal,Constituency_240,MP_Name_240,WB/630/2021-2022/2369 - Construction of Sanitation facility,08-01-2024,Completed
73,Uttar Pradesh,Constituency_195,MP_Name_195,UP/436/2021-2022/2099 - Construction of Electricity facility,07-08-2023,Completed
74,Tamil Nadu,Constituency_326,MP_Name_326,TN/902/2021-2022/2832 - Construction of Education facility,05-01-2024,Completed
75,Uttar Pradesh,Constituency_426,MP_Name_426,UP/199/2022-2023/3369 - Construction of Health facility,16-06-2021,Completed
76,Madhya Pradesh,Constituency_245,MP_Name_245,MP/484/2021-2022/2403 - Construction of Sanitation facility,20-09-2024,Completed
77,Karnataka,Constituency_422,MP_Name_422,KA/160/2022-2023/3346 - Construction of Drinking Water facility,11-07-2022,Completed
78,West Bengal,Constituency_72,MP_Name_72,WB/623/2022-2023/1404 - Construction of Roads facility,25-12-2023,Completed
79,Tamil Nadu,Constituency_70,MP_Name_70,TN/208/2021-2022/1389 - Construction of Health facility,03-12-2023,Completed
80,West Bengal,Constituency_296,MP_Name_296,WB/829/2023-2024/2672 - Construction of Education facility,16-04-2024,Completed
81,Maharashtra,Constituency_456,MP_Name_456,MH/640/2022-2023/3530 - Construction of Drinking Water facility,17-08-2022,Completed
82,Karnataka,Constituency_3,MP_Name_3,KA/819/2023-2024/1016 - Construction of Health facility,08-09-2024,Completed
83,West Bengal,Constituency_17,MP_Name_17,WB/424/2022-2023/1091 - Construction of Education facility,07-08-2021,Completed
84,Rajasthan,Constituency_224,MP_Name_224,RJ/683/2022-2023/2281 - Construction of Sanitation facility,01-10-2024,Completed
85,Karnataka,Constituency_445,MP_Name_445,KA/397/2021-2022/3480 - Construction of Health facility,28-10-2022,Completed
86,Rajasthan,Constituency_542,MP_Name_542,RJ/161/2023-2024/4024 - Construction of Sanitation facility,25-03-2021,Completed
87,Tamil Nadu,Constituency_440,MP_Name_440,TN/932/2022-2023/3456 - Construction of Drinking Water facility,26-04-2022,Completed
88,Maharashtra,Constituency_114,MP_Name_114,MH/953/2023-2024/1637 - Construction of Electricity facility,30-01-2022,Completed
89,Karnataka,Constituency_130,MP_Name_130,KA/608/2023-2024/1722 - Construction of Education facility,23-02-2023,Completed
90,Uttar Pradesh,Constituency_167,MP_Name_167,UP/295/2023-2024/1941 - Construction of Drinking Water facility,10-10-2022,Completed
91,Rajasthan,Constituency_26,MP_Name_26,RJ/377/2023-2024/1141 - Construction of Education facility,11-08-2022,Completed
92,Gujarat,Constituency_84,MP_Name_84,GJ/480/2021-2022/1463 - Construction of Electricity facility,30-01-2021,Completed
93,Karnataka,Constituency_465,MP_Name_465,KA/167/2023-2024/3585 - Construction of Education facility,25-07-2023,Completed
94,Karnataka,Constituency_137,MP_Name_137,KA/323/2021-2022/1752 - Construction of Electricity facility,21-07-2023,Completed
95,Gujarat,Constituency_227,MP_Name_227,GJ/168/2022-2023/2299 - Construction of Drinking Water facility,04-01-2024,Completed
96,Karnataka,Constituency_19,MP_Name_19,KA/452/2021-2022/1101 - Construction of Drinking Water facility,18-10-2023,Completed
97,Tamil Nadu,Constituency_75,MP_Name_75,TN/119/2021-2022/1422 - Construction of Sanitation facility,15-04-2022,Completed
98,Delhi,Constituency_31,MP_Name_31,DL/525/2021-2022/1165 - Construction of Education facility,19-01-2024,Completed
99,Rajasthan,Constituency_332,MP_Name_332,RJ/858/2022-2023/2868 - Construction of Electricity facility,21-05-2022,Completed
100,Rajasthan,Constituency_200,MP_Name_200,RJ/124/2021-2022/2136 - Construction of Drinking Water facility,17-08-2021,Completed
101,Bihar,Constituency_214,MP_Name_214,BR/776/2022-2023/2227 - Construction of Roads facility,03-04-2024,Completed
102,Tamil Nadu,Constituency_20,MP_Name_20,TN/841/2023-2024/1107 - Construction of Sanitation facility,04-07-2024,Completed
103,Bihar,Constituency_152,MP_Name_152,BR/756/2022-2023/1842 - Construction of Health facility,10-07-2024,Completed
104,Karnataka,Constituency_237,MP_Name_237,KA/666/2021-2022/2355 - Construction of Drinking Water facility,02-09-2023,Completed
105,Rajasthan,Constituency_492,MP_Name_492,RJ/970/2022-2023/3736 - Construction of Electricity facility,17-11-2023,Completed
106,Madhya Pradesh,Constituency_204,MP_Name_204,MP/784/2021-2022/2166 - Construction of Education facility,14-02-2022,Completed
107,West Bengal,Constituency_526,MP_Name_526,WB/792/2023-2024/3927 - Construction of Health facility,03-12-2024,Completed
108,Tamil Nadu,Constituency_191,MP_Name_191,TN/884/2021-2022/2078 - Construction of Roads facility,29-03-2022,Completed
109,Uttar Pradesh,Constituency_171,MP_Name_171,UP/229/2022-2023/1959 - Construction of Drinking Water facility,06-09-2023,Completed
110,Gujarat,Constituency_227,MP_Name_227,GJ/324/2023-2024/2297 - Construction of Roads facility,05-07-2021,Completed
111,Maharashtra,Constituency_417,MP_Name_417,MH/440/2021-2022/3319 - Construction of Roads facility,21-09-2024,Completed
112,Maharashtra,Constituency_482,MP_Name_482,MH/679/2022-2023/3673 - Construction of Roads facility,22-07-2021,Completed
113,Bihar,Constituency_254,MP_Name_254,BR/743/2021-2022/2446 - Construction of Roads facility,16-03-2023,Completed
114,Karnataka,Constituency_129,MP_Name_129,KA/614/2021-2022/1713 - Construction of Roads facility,12-04-2021,Completed
115,Tamil Nadu,Constituency_205,MP_Name_205,TN/430/2023-2024/2173 - Construction of Drinking Water facility,03-02-2022,Completed
116,Madhya Pradesh,Constituency_177,MP_Name_177,MP/260/2022-2023/1995 - Construction of Sanitation facility,30-05-2023,Completed
117,Madhya Pradesh,Constituency_11,MP_Name_11,MP/336/2021-2022/1059 - Construction of Drinking Water facility,28-08-2024,Completed
118,Uttar Pradesh,Constituency_115,MP_Name_115,UP/303/2022-2023/1640 - Construction of Education facility,03-08-2022,Completed
119,Delhi,Constituency_64,MP_Name_64,DL/232/2022-2023/1353 - Construction of Electricity facility,10-03-2022,Completed
120,Bihar,Constituency_152,MP_Name_152,BR/914/2023-2024/1839 - Construction of Drinking Water facility,06-04-2024,Completed
121,Rajasthan,Constituency_348,MP_Name_348,RJ/518/2023-2024/2950 - Construction of Electricity facility,07-01-2023,Completed
122,Bihar,Constituency_286,MP_Name_286,BR/689/2021-2022/2612 - Construction of Sanitation facility,11-01-2024,Completed
123,West Bengal,Constituency_419,MP_Name_419,WB/895/2023-2024/3332 - Construction of Sanitation facility,15-11-2023,Completed
124,Tamil Nadu,Constituency_75,MP_Name_75,TN/911/2021-2022/1419 - Construction of Health facility,08-01-2023,Completed
125,Rajasthan,Constituency_455,MP_Name_455,RJ/779/2023-2024/3528 - Construction of Sanitation facility,07-04-2021,Completed
126,Gujarat,Constituency_321,MP_Name_321,GJ/518/2023-2024/2804 - Construction of Sanitation facility,05-03-2024,Completed
127,Karnataka,Constituency_164,MP_Name_164,KA/755/2022-2023/1916 - Construction of Electricity facility,28-04-2023,Completed
128,Maharashtra,Constituency_543,MP_Name_543,MH/830/2023-2024/4028 - Construction of Health facility,12-06-2022,Completed
129,Maharashtra,Constituency_8,MP_Name_8,MH/669/2022-2023/1044 - Construction of Education facility,14-08-2021,Completed
130,Tamil Nadu,Constituency_434,MP_Name_434,TN/799/2022-2023/3421 - Construction of Education facility,04-06-2022,Completed
131,Delhi,Constituency_423,MP_Name_423,DL/813/2021-2022/3352 - Construction of Electricity facility,21-11-2022,Completed
132,Bihar,Constituency_377,MP_Name_377,BR/243/2022-2023/3096 - Construction of Electricity facility,01-12-2023,Completed
133,Rajasthan,Constituency_66,MP_Name_66,RJ/355/2021-2022/1364 - Construction of Drinking Water facility,13-01-2024,Completed
134,Rajasthan,Constituency_306,MP_Name_306,RJ/165/2021-2022/2716 - Construction of Electricity facility,05-07-2023,Completed
135,Gujarat,Constituency_267,MP_Name_267,GJ/634/2023-2024/2504 - Construction of Health facility,20-11-2022,Completed
136,Delhi,Constituency_496,MP_Name_496,DL/941/2022-2023/3759 - Construction of Electricity facility,28-03-2024,Completed
137,West Bengal,Constituency_18,MP_Name_18,WB/585/2023-2024/1093 - Construction of Sanitation facility,27-07-2023,Completed
138,Maharashtra,Constituency_373,MP_Name_373,MH/691/2021-2022/3072 - Construction of Health facility,01-03-2024,Completed
139,Rajasthan,Constituency_425,MP_Name_425,RJ/561/2023-2024/3362 - Construction of Health facility,06-09-2023,Completed
140,Madhya Pradesh,Constituency_335,MP_Name_335,MP/535/2021-2022/2884 - Construction of Health facility,20-02-2022,Completed
141,Uttar Pradesh,Constituency_94,MP_Name_94,UP/467/2023-2024/1521 - Construction of Health facility,30-01-2024,Completed
142,Bihar,Constituency_448,MP_Name_448,BR/670/2021-2022/3490 - Construction of Electricity facility,09-03-2023,Completed
143,Tamil Nadu,Constituency_197,MP_Name_197,TN/355/2021-2022/2113 - Construction of Electricity facility,13-05-2024,Completed
144,West Bengal,Constituency_370,MP_Name_370,WB/832/2021-2022/3055 - Construction of Drinking Water facility,11-05-2023,Completed
145,West Bengal,Constituency_468,MP_Name_468,WB/968/2022-2023/3605 - Construction of Sanitation facility,13-02-2023,Completed
146,Gujarat,Constituency_163,MP_Name_163,GJ/998/2022-2023/1909 - Construction of Sanitation facility,03-06-2023,Completed
147,Tamil Nadu,Constituency_304,MP_Name_304,TN/699/2023-2024/2705 - Construction of Health facility,10-12-2022,Completed
148,Rajasthan,Constituency_34,MP_Name_34,RJ/721/2021-2022/1180 - Construction of Sanitation facility,03-04-2023,Completed
149,Karnataka,Constituency_521,MP_Name_521,KA/875/2023-2024/3900 - Construction of Sanitation facility,30-04-2021,Completed
150,Gujarat,Constituency_392,MP_Name_392,GJ/171/2021-2022/3195 - Construction of Electricity facility,07-07-2023,Completed
151,West Bengal,Constituency_312,MP_Name_312,WB/391/2022-2023/2748 - Construction of Sanitation facility,29-03-2022,Completed
152,Rajasthan,Constituency_297,MP_Name_297,RJ/585/2021-2022/2677 - Construction of Sanitation facility,20-03-2022,Completed
153,Gujarat,Constituency_476,MP_Name_476,GJ/158/2023-2024/3648 - Construction of Health facility,26-06-2021,Completed
154,Karnataka,Constituency_108,MP_Name_108,KA/158/2022-2023/1604 - Construction of Health facility,12-07-2024,Completed
155,Uttar Pradesh,Constituency_494,MP_Name_494,UP/159/2022-2023/3743 - Construction of Health facility,03-06-2023,Completed
156,Bihar,Constituency_525,MP_Name_525,BR/489/2021-2022/3918 - Construction of Education facility,24-01-2023,Completed
157,West Bengal,Constituency_120,MP_Name_120,WB/945/2022-2023/1668 - Construction of Roads facility,02-04-2022,Completed
158,Gujarat,Constituency_154,MP_Name_154,GJ/340/2022-2023/1851 - Construction of Drinking Water facility,05-10-2022,Completed
159,Tamil Nadu,Constituency_213,MP_Name_213,TN/552/2022-2023/2223 - Construction of Health facility,14-05-2022,Completed
160,Maharashtra,Constituency_30,MP_Name_30,MH/603/2022-2023/1158 - Construction of Electricity facility,24-02-2021,Completed
161,Madhya Pradesh,Constituency_243,MP_Name_243,MP/426/2021-2022/2389 - Construction of Drinking Water facility,05-08-2021,Completed
162,West Bengal,Constituency_185,MP_Name_185,WB/539/2023-2024/2040 - Construction of Sanitation facility,17-02-2021,Completed
163,West Bengal,Constituency_336,MP_Name_336,WB/974/2023-2024/2887 - Construction of Electricity facility,24-03-2023,Completed
164,Maharashtra,Constituency_142,MP_Name_142,MH/152/2021-2022/1787 - Construction of Health facility,17-01-2021,Completed
165,Madhya Pradesh,Constituency_292,MP_Name_292,MP/173/2023-2024/2653 - Construction of Education facility,27-12-2021,Completed
166,Tamil Nadu,Constituency_191,MP_Name_191,TN/542/2021-2022/2080 - Construction of Roads facility,29-01-2021,Completed
167,Maharashtra,Constituency_239,MP_Name_239,MH/340/2023-2024/2366 - Construction of Education facility,21-12-2023,Completed
168,Karnataka,Constituency_353,MP_Name_353,KA/278/2023-2024/2971 - Construction of Education facility,23-10-2022,Completed
169,Tamil Nadu,Constituency_32,MP_Name_32,TN/335/2023-2024/1174 - Construction of Health facility,27-06-2022,Completed
170,Tamil Nadu,Constituency_287,MP_Name_287,TN/473/2022-2023/2621 - Construction of Drinking Water facility,11-03-2023,Completed
171,Maharashtra,Constituency_460,MP_Name_460,MH/178/2022-2023/3555 - Construction of Education facility,15-08-2024,Completed
172,Madhya Pradesh,Constituency_253,MP_Name_253,MP/339/2023-2024/2436 - Construction of Sanitation facility,23-09-2024,Completed
173,Maharashtra,Constituency_158,MP_Name_158,MH/957/2021-2022/1881 - Construction of Health facility,01-11-2022,Completed
174,Gujarat,Constituency_173,MP_Name_173,GJ/685/2023-2024/1967 - Construction of Education facility,25-02-2022,Completed
175,Tamil Nadu,Constituency_449,MP_Name_449,TN/146/2021-2022/3496 - Construction of Education facility,04-11-2023,Completed
176,Karnataka,Constituency_454,MP_Name_454,KA/317/2022-2023/3521 - Construction of Drinking Water facility,07-10-2024,Completed
177,Uttar Pradesh,Constituency_147,MP_Name_147,UP/670/2022-2023/1810 - Construction of Drinking Water facility,25-06-2021,Completed
178,Gujarat,Constituency_163,MP_Name_163,GJ/790/2023-2024/1907 - Construction of Drinking Water facility,25-08-2021,Completed
179,Karnataka,Constituency_391,MP_Name_391,KA/866/2021-2022/3189 - Construction of Education facility,08-07-2021,Completed
180,Tamil Nadu,Constituency_537,MP_Name_537,TN/460/2021-2022/3991 - Construction of Roads facility,26-10-2021,Completed
181,Delhi,Constituency_143,MP_Name_143,DL/606/2023-2024/1792 - Construction of Electricity facility,28-01-2022,Completed
182,Tamil Nadu,Constituency_205,MP_Name_205,TN/843/2021-2022/2169 - Construction of Electricity facility,10-10-2022,Completed
183,Maharashtra,Constituency_305,MP_Name_305,MH/325/2021-2022/2711 - Construction of Health facility,30-05-2021,Completed
184,Delhi,Constituency_118,MP_Name_118,DL/604/2023-2024/1654 - Construction of Sanitation facility,25-05-2024,Completed
185,Karnataka,Constituency_331,MP_Name_331,KA/647/2022-2023/2862 - Construction of Electricity facility,10-01-2023,Completed
186,Tamil Nadu,Constituency_400,MP_Name_400,TN/600/2023-2024/3231 - Construction of Roads facility,26-04-2024,Completed
187,Rajasthan,Constituency_168,MP_Name_168,RJ/255/2023-2024/1943 - Construction of Drinking Water facility,28-09-2021,Completed
188,Madhya Pradesh,Constituency_292,MP_Name_292,MP/334/2022-2023/2654 - Construction of Roads facility,24-04-2021,Completed
189,Uttar Pradesh,Constituency_170,MP_Name_170,UP/369/2023-2024/1952 - Construction of Electricity facility,03-09-2022,Completed
190,West Bengal,Constituency_15,MP_Name_15,WB/959/2021-2022/1075 - Construction of Sanitation facility,23-11-2023,Completed
191,West Bengal,Constituency_189,MP_Name_189,WB/813/2023-2024/2067 - Construction of Roads facility,13-04-2024,Completed
192,Uttar Pradesh,Constituency_223,MP_Name_223,UP/910/2021-2022/2280 - Construction of Education facility,04-07-2024,Completed
193,Uttar Pradesh,Constituency_405,MP_Name_405,UP/847/2021-2022/3263 - Construction of Roads facility,20-10-2021,Completed
194,Maharashtra,Constituency_158,MP_Name_158,MH/575/2023-2024/1883 - Construction of Drinking Water facility,23-06-2021,Completed
195,Delhi,Constituency_184,MP_Name_184,DL/556/2022-2023/2035 - Construction of Sanitation facility,02-01-2021,Completed
196,Karnataka,Constituency_121,MP_Name_121,KA/391/2022-2023/1671 - Construction of Education facility,21-07-2024,Completed
197,Gujarat,Constituency_217,MP_Name_217,GJ/229/2022-2023/2247 - Construction of Education facility,02-09-2023,Completed
198,Delhi,Constituency_421,MP_Name_421,DL/771/2023-2024/3341 - Construction of Education facility,02-12-2022,Completed
199,West Bengal,Constituency_510,MP_Name_510,WB/167/2022-2023/3836 - Construction of Roads facility,11-04-2023,Completed
200,Madhya Pradesh,Constituency_272,MP_Name_272,MP/376/2023-2024/2536 - Construction of Roads facility,09-01-2023,Completed
201,Karnataka,Constituency_519,MP_Name_519,KA/553/2022-2023/3886 - Construction of Health facility,24-09-2024,Completed
202,Bihar,Constituency_207,MP_Name_207,BR/535/2021-2022/2180 - Construction of Education facility,04-10-2024,Completed
203,Madhya Pradesh,Constituency_318,MP_Name_318,MP/414/2023-2024/2784 - Construction of Drinking Water facility,05-05-2021,Completed
204,Gujarat,Constituency_25,MP_Name_25,GJ/169/2023-2024/1133 - Construction of Electricity facility,14-07-2022,Completed
205,Karnataka,Constituency_176,MP_Name_176,KA/696/2022-2023/1986 - Construction of Education facility,30-11-2023,Completed
206,Tamil Nadu,Constituency_300,MP_Name_300,TN/306/2021-2022/2687 - Construction of Drinking Water facility,17-02-2021,Completed
207,Rajasthan,Constituency_314,MP_Name_314,RJ/348/2022-2023/2765 - Construction of Electricity facility,14-06-2023,Completed
208,Tamil Nadu,Constituency_440,MP_Name_440,TN/774/2021-2022/3455 - Construction of Roads facility,26-07-2023,Completed
209,Madhya Pradesh,Constituency_277,MP_Name_277,MP/843/2022-2023/2566 - Construction of Drinking Water facility,17-08-2021,Completed
210,Delhi,Constituency_232,MP_Name_232,DL/739/2021-2022/2325 - Construction of Sanitation facility,06-09-2023,Completed
211,Karnataka,Constituency_415,MP_Name_415,KA/603/2023-2024/3308 - Construction of Electricity facility,02-04-2024,Completed
212,Karnataka,Constituency_137,MP_Name_137,KA/374/2023-2024/1753 - Construction of Sanitation facility,21-07-2021,Completed
213,West Bengal,Constituency_113,MP_Name_113,WB/117/2023-2024/1625 - Construction of Sanitation facility,10-11-2023,Completed
214,Bihar,Constituency_107,MP_Name_107,BR/889/2023-2024/1594 - Construction of Drinking Water facility,29-06-2023,Completed
215,West Bengal,Constituency_281,MP_Name_281,WB/489/2023-2024/2580 - Construction of Health facility,30-04-2024,Completed
216,Madhya Pradesh,Constituency_514,MP_Name_514,MP/106/2023-2024/3856 - Construction of Electricity facility,06-09-2024,Completed
217,Delhi,Constituency_522,MP_Name_522,DL/761/2023-2024/3903 - Construction of Sanitation facility,10-06-2023,Completed
218,Maharashtra,Constituency_529,MP_Name_529,MH/570/2023-2024/3944 - Construction of Electricity facility,22-07-2024,Completed
219,West Bengal,Constituency_146,MP_Name_146,WB/253/2021-2022/1804 - Construction of Roads facility,05-09-2022,Completed
220,Uttar Pradesh,Constituency_167,MP_Name_167,UP/216/2021-2022/1936 - Construction of Roads facility,04-06-2024,Completed
221,West Bengal,Constituency_252,MP_Name_252,WB/728/2022-2023/2432 - Construction of Electricity facility,14-06-2023,Completed
222,West Bengal,Constituency_150,MP_Name_150,WB/401/2022-2023/1826 - Construction of Roads facility,12-03-2023,Completed
223,Uttar Pradesh,Constituency_355,MP_Name_355,UP/571/2022-2023/2981 - Construction of Drinking Water facility,24-09-2023,Completed
224,Karnataka,Constituency_276,MP_Name_276,KA/377/2022-2023/2559 - Construction of Electricity facility,19-03-2021,Completed
225,Maharashtra,Constituency_239,MP_Name_239,MH/888/2021-2022/2365 - Construction of Health facility,11-05-2022,Completed
226,Delhi,Constituency_64,MP_Name_64,DL/676/2021-2022/1354 - Construction of Sanitation facility,30-09-2021,Completed
227,Delhi,Constituency_485,MP_Name_485,DL/444/2023-2024/3690 - Construction of Health facility,20-11-2023,Completed
228,Madhya Pradesh,Constituency_55,MP_Name_55,MP/928/2022-2023/1308 - Construction of Electricity facility,07-08-2024,Completed
