sr_no,state,ida,constituency,mp_name,work,work_category,sanction_date,sanction_amount,work_status
148,Gujarat,District_8,Constituency_149,MP_Name_149,Work_148,Drinking Water,08-06-2021,704085,Sanctioned
149,Tamil Nadu,District_9,Constituency_150,MP_Name_150,Work_149,Education,15-11-2021,1181200,Sanctioned
150,Maharashtra,District_0,Constituency_151,MP_Name_151,Work_150,Health,31-03-2022,1699770,Sanctioned
151,Maharashtra,District_1,Constituency_152,MP_Name_152,Work_151,Electricity,29-07-2022,1624045,Sanctioned
152,Tamil Nadu,District_2,Constituency_153,MP_Name_153,Work_152,Roads,26-02-2021,1523225,Sanctioned
153,Gujarat,District_3,Constituency_154,MP_Name_154,Work_153,Roads,31-07-2023,958810,Sanctioned
154,Karnataka,District_4,Constituency_155,MP_Name_155,Work_154,Education,20-06-2022,801924,Sanctioned
155,Maharashtra,District_5,Constituency_156,MP_Name_156,Work_155,Drinking Water,24-12-2023,481655,Sanctioned
156,Karnataka,District_6,Constituency_157,MP_Name_157,Work_156,Roads,01-05-2021,1317711,Sanctioned
157,Delhi,District_7,Constituency_158,MP_Name_158,Work_157,Education,12-06-2023,1285285,Sanctioned
158,Gujarat,District_8,Constituency_159,MP_Name_159,Work_158,Sanitation,26-09-2021,863610,Sanctioned
159,Karnataka,District_9,Constituency_160,MP_Name_160,Work_159,Drinking Water,21-08-2023,1369665,Sanctioned
160,Gujarat,District_0,Constituency_161,MP_Name_161,Work_160,Sanitation,05-03-2021,507997,Sanctioned
161,Delhi,District_1,Constituency_162,MP_Name_162,Work_161,Health,02-02-2023,1641577,Sanctioned
162,Maharashtra,District_2,Constituency_163,MP_Name_163,Work_162,Education,21-09-2023,1462169,Sanctioned
163,Uttar Pradesh,District_3,Constituency_164,MP_Name_164,Work_163,Electricity,24-07-2023,1569731,Sanctioned
164,Maharashtra,District_4,Constituency_165,MP_Name_165,Work_164,Education,16-04-2021,782900,Sanctioned
165,Uttar Pradesh,District_5,Constituency_166,MP_Name_166,Work_165,Education,17-03-2021,804178,Sanctioned
166,Karnataka,District_6,Constituency_167,MP_Name_167,Work_166,Health,14-04-2022,1606928,Sanctioned
167,Tamil Nadu,District_7,Constituency_168,MP_Name_168,Work_167,Education,28-06-2022,1255220,Sanctioned
168,Tamil Nadu,District_8,Constituency_169,MP_Name_169,Work_168,Electricity,22-01-2022,1375407,Sanctioned
169,Karnataka,District_9,Constituency_170,MP_Name_170,Work_169,Drinking Water,01-11-2021,1399020,Sanctioned
170,Uttar Pradesh,District_0,Constituency_171,MP_Name_171,Work_170,Drinking Water,13-01-2022,1890202,Sanctioned
171,Maharashtra,District_1,Constituency_172,MP_Name_172,Work_171,Drinking Water,27-06-2023,1601943,Sanctioned
172,Uttar Pradesh,District_2,Constituency_173,MP_Name_173,Work_172,Health,26-07-2021,711214,Sanctioned
173,Maharashtra,District_3,Constituency_174,MP_Name_174,Work_173,Sanitation,12-03-2023,1155953,Sanctioned
174,Delhi,District_4,Constituency_175,MP_Name_175,Work_174,Health,13-01-2021,771538,Sanctioned
175,Maharashtra,District_5,Constituency_176,MP_Name_176,Work_175,Sanitation,03-10-2022,1067262,Sanctioned
176,Uttar Pradesh,District_6,Constituency_177,MP_Name_177,Work_176,Sanitation,07-04-2023,1010440,Sanctioned
177,Delhi,District_7,Constituency_178,MP_Name_178,Work_177,Sanitation,14-08-2022,1108339,Sanctioned
178,Delhi,District_8,Constituency_179,MP_Name_179,Work_178,Sanitation,17-10-2021,1763457,Sanctioned
179,Karnataka,District_9,Constituency_180,MP_Name_180,Work_179,Education,30-07-2023,884487,Sanctioned
180,Uttar Pradesh,District_0,Constituency_181,MP_Name_181,Work_180,Electricity,17-10-2022,748174,Sanctioned
181,Karnataka,District_1,Constituency_182,MP_Name_182,Work_181,Electricity,25-10-2022,737080,Sanctioned
182,Maharashtra,District_2,Constituency_183,MP_Name_183,Work_182,Roads,10-10-2023,1774398,Sanctioned
183,Delhi,District_3,Constituency_184,MP_Name_184,Work_183,Drinking Water,09-04-2021,693499,Sanctioned
184,Gujarat,District_4,Constituency_185,MP_Name_185,Work_184,Sanitation,14-07-2022,757999,Sanctioned
185,Karnataka,District_5,Constituency_186,MP_Name_186,Work_185,Sanitation,09-05-2021,547081,Sanctioned
186,Gujarat,District_6,Constituency_187,MP_Name_187,Work_186,Drinking Water,30-07-2021,1340778,Sanctioned
187,Maharashtra,District_7,Constituency_188,MP_Name_188,Work_187,Sanitation,11-01-2023,1844848,Sanctioned
188,Uttar Pradesh,District_8,Constituency_189,MP_Name_189,Work_188,Roads,12-01-2021,435870,Sanctioned
189,Gujarat,District_9,Constituency_190,MP_Name_190,Work_189,Roads,19-10-2022,1469539,Sanctioned
190,Uttar Pradesh,District_0,Constituency_191,MP_Name_191,Work_190,Sanitation,23-03-2023,781421,Sanctioned
191,Karnataka,District_1,Constituency_192,MP_Name_192,Work_191,Education,09-06-2023,1814447,Sanctioned
192,Gujarat,District_2,Constituency_193,MP_Name_193,Work_192,Roads,21-01-2021,490712,Sanctioned
193,Maharashtra,District_3,Constituency_194,MP_Name_194,Work_193,Sanitation,31-10-2022,1076004,Sanctioned
194,Maharashtra,District_4,Constituency_195,MP_Name_195,Work_194,Electricity,19-02-2021,1688984,Sanctioned
195,Maharashtra,District_5,Constituency_196,MP_Name_196,Work_195,Drinking Water,07-12-2021,609496,Sanctioned
196,Maharashtra,District_6,Constituency_197,MP_Name_197,Work_196,Education,18-11-2023,642163,Sanctioned
197,Gujarat,District_7,Constituency_198,MP_Name_198,Work_197,Education,31-05-2023,1710093,Sanctioned
198,Gujarat,District_8,Constituency_199,MP_Name_199,Work_198,Roads,04-12-2022,1756498,Sanctioned
199,Gujarat,District_9,Constituency_200,MP_Name_200,Work_199,Electricity,04-07-2022,1716526,Sanctioned
200,Uttar Pradesh,District_0,Constituency_201,MP_Name_201,Work_200,Education,14-05-2021,460766,Sanctioned
201,Gujarat,District_1,Constituency_202,MP_Name_202,Work_201,Health,20-12-2023,1765010,Sanctioned
202,Maharashtra,District_2,Constituency_203,MP_Name_203,Work_202,Electricity,09-03-2022,1134023,Sanctioned
203,Uttar Pradesh,District_3,Constituency_204,MP_Name_204,Work_203,Sanitation,18-06-2022,1293358,Sanctioned
204,Gujarat,District_4,Constituency_205,MP_Name_205,Work_204,Education,06-05-2022,595912,Sanctioned
205,Tamil Nadu,District_5,Constituency_206,MP_Name_206,Work_205,Health,28-04-2021,758292,Sanctioned
206,Delhi,District_6,Constituency_207,MP_Name_207,Work_206,Electricity,12-12-2023,751717,Sanctioned
207,Delhi,District_7,Constituency_208,MP_Name_208,Work_207,Sanitation,28-07-2023,682190,Sanctioned
208,Uttar Pradesh,District_8,Constituency_209,MP_Name_209,Work_208,Roads,09-02-2022,1072265,Sanctioned
209,Gujarat,District_9,Constituency_210,MP_Name_210,Work_209,Health,23-04-2022,719483,Sanctioned
210,Uttar Pradesh,District_0,Constituency_211,MP_Name_211,Work_210,Sanitation,13-02-2021,874176,Sanctioned
211,Tamil Nadu,District_1,Constituency_212,MP_Name_212,Work_211,Roads,25-03-2021,970210,Sanctioned
212,Tamil Nadu,District_2,Constituency_213,MP_Name_213,Work_212,Health,22-04-2023,1307315,Sanctioned
213,Uttar Pradesh,District_3,Constituency_214,MP_Name_214,Work_213,Drinking Water,28-02-2022,1446658,Sanctioned
214,Gujarat,District_4,Constituency_215,MP_Name_215,Work_214,Education,27-01-2023,1838139,Sanctioned
215,Karnataka,District_5,Constituency_216,MP_Name_216,Work_215,Health,28-07-2021,1812262,Sanctioned
216,Gujarat,District_6,Constituency_217,MP_Name_217,Work_216,Drinking Water,19-05-2022,1084653,Sanctioned
217,Tamil Nadu,District_7,Constituency_218,MP_Name_218,Work_217,Health,01-12-2022,1509218,Sanctioned
218,Tamil Nadu,District_8,Constituency_219,MP_Name_219,Work_218,Health,23-01-2023,988434,Sanctioned
219,Karnataka,District_9,Constituency_220,MP_Name_220,Work_219,Drinking Water,25-01-2023,1666018,Sanctioned
220,Maharashtra,District_0,Constituency_221,MP_Name_221,Work_220,Electricity,07-09-2021,846349,Sanctioned
221,Uttar Pradesh,District_1,Constituency_222,MP_Name_222,Work_221,Health,08-12-2022,964313,Sanctioned
222,Uttar Pradesh,District_2,Constituency_223,MP_Name_223,Work_222,Sanitation,11-06-2023,590763,Sanctioned
223,Tamil Nadu,District_3,Constituency_224,MP_Name_224,Work_223,Education,23-02-2023,1632708,Sanctioned
224,Delhi,District_4,Constituency_225,MP_Name_225,Work_224,Drinking Water,17-10-2021,1046560,Sanctioned
225,Gujarat,District_5,Constituency_226,MP_Name_226,Work_225,Drinking Water,23-08-2021,591901,Sanctioned
226,Maharashtra,District_6,Constituency_227,MP_Name_227,Work_226,Sanitation,18-03-2021,1674156,Sanctioned
227,Karnataka,District_7,Constituency_228,MP_Name_228,Work_227,Health,26-09-2022,1747651,Sanctioned
228,Maharashtra,District_8,Constituency_229,MP_Name_229,Work_228,Sanitation,27-12-2022,707062,Sanctioned
229,Gujarat,District_9,Constituency_230,MP_Name_230,Work_229,Electricity,08-03-2022,1052408,Sanctioned
230,Uttar Pradesh,District_0,Constituency_231,MP_Name_231,Work_230,Roads,13-12-2023,1272775,Sanctioned
231,Tamil Nadu,District_1,Constituency_232,MP_Name_232,Work_231,Electricity,23-02-2021,1263368,Sanctioned
232,Maharashtra,District_2,Constituency_233,MP_Name_233,Work_232,Roads,15-03-2023,948048,Sanctioned
233,Uttar Pradesh,District_3,Constituency_234,MP_Name_234,Work_233,Drinking Water,17-03-2022,1002086,Sanctioned
234,Delhi,District_4,Constituency_235,MP_Name_235,Work_234,Sanitation,10-06-2023,1550209,Sanctioned
235,Uttar Pradesh,District_5,Constituency_236,MP_Name_236,Work_235,Health,29-09-2023,1149510,Sanctioned
236,Uttar Pradesh,District_6,Constituency_237,MP_Name_237,Work_236,Sanitation,24-02-2023,1853740,Sanctioned
237,Delhi,District_7,Constituency_238,MP_Name_238,Work_237,Education,11-10-2023,1185723,Sanctioned
238,Uttar Pradesh,District_8,Constituency_239,MP_Name_239,Work_238,Drinking Water,24-07-2022,1448071,Sanctioned
239,Gujarat,District_9,Constituency_240,MP_Name_240,Work_239,Sanitation,13-07-2022,1701130,Sanctioned
240,Gujarat,District_0,Constituency_241,MP_Name_241,Work_240,Drinking Water,28-01-2021,1055116,Sanctioned
241,Tamil Nadu,District_1,Constituency_242,MP_Name_242,Work_241,Roads,03-04-2022,835758,Sanctioned
242,Uttar Pradesh,District_2,Constituency_243,MP_Name_243,Work_242,Health,23-07-2022,579335,Sanctioned
243,Uttar Pradesh,District_3,Constituency_244,MP_Name_244,Work_243,Roads,07-02-2021,1392610,Sanctioned
244,Delhi,District_4,Constituency_245,MP_Name_245,Work_244,Roads,13-01-2022,475494,Sanctioned
245,Tamil Nadu,District_5,Constituency_246,MP_Name_246,Work_245,Roads,12-01-2021,903266,Sanctioned
246,Delhi,District_6,Constituency_247,MP_Name_247,Work_246,Electricity,26-06-2022,1305497,Sanctioned
247,Delhi,District_7,Constituency_248,MP_Name_248,Work_247,Drinking Water,22-02-2023,792068,Sanctioned
248,Karnataka,District_8,Constituency_249,MP_Name_249,Work_248,Drinking Water,14-04-2023,1254984,Sanctioned
249,Delhi,District_9,Constituency_250,MP_Name_250,Work_249,Drinking Water,17-04-2022,855295,Sanctioned
250,Tamil Nadu,District_0,Constituency_251,MP_Name_251,Work_250,Electricity,26-08-2022,1830668,Sanctioned
