Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
45997,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2024-2025/148394,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,23-Sep-25,ARVIND KUMAR PANDEY,Payment Success,175807
45998,Uttar Pradesh,Lighting of public spaces,WS/MP18352/2026-2027/277269,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),RAJEEV RAI,GHOSI,20-Aug-26,ARVIND KUMAR PANDEY,Payment Success,177086
45999,Uttar Pradesh,Installation of fixed garden gym equipment,WS/MP18352/2026-2027/277265,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),RAJEEV RAI,GHOSI,20-Aug-26,ARVIND KUMAR PANDEY,Payment Success,505537
46000,Uttar Pradesh,Lighting of public spaces,WS/MP18352/2026-2027/277271,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),RAJEEV RAI,GHOSI,20-Aug-26,ARVIND KUMAR PANDEY,Payment Success,177086
46001,Uttar Pradesh,Lighting of public spaces,WS/MP18352/2026-2027/277273,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),RAJEEV RAI,GHOSI,20-Aug-26,ARVIND KUMAR PANDEY,Payment Success,177086
46002,Uttar Pradesh,Lighting of public spaces,WS/MP18352/2026-2027/277270,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),RAJEEV RAI,GHOSI,20-Aug-26,ARVIND KUMAR PANDEY,Payment Success,177086
46003,Uttar Pradesh,Lighting of public spaces,WS/MP18352/2026-2027/277267,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),RAJEEV RAI,GHOSI,20-Aug-26,ARVIND KUMAR PANDEY,Payment Success,177086
46004,Uttar Pradesh,Lighting of public spaces,WS/MP18352/2026-2027/277272,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),RAJEEV RAI,GHOSI,20-Aug-26,ARVIND KUMAR PANDEY,Payment Success,177086
46005,Uttar Pradesh,Lighting of public spaces,WS/MP18352/2026-2027/277268,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),RAJEEV RAI,GHOSI,20-Aug-26,ARVIND KUMAR PANDEY,Payment Success,177086
46006,Uttar Pradesh,Lighting of public spaces,WS/MP18352/2026-2027/277266,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),RAJEEV RAI,GHOSI,20-Aug-26,ARVIND KUMAR PANDEY,Payment Success,178857
46007,Uttar Pradesh,Installation of fixed garden gym equipment,WS/MP18205/2024-2025/148331,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,02-Jul-25,ARVIND KUMAR PANDEY,Payment Success,493093
46008,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2024-2025/148387,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,02-Jul-25,ARVIND KUMAR PANDEY,Payment Success,560876
46009,Uttar Pradesh,Installing community drinking water plants,WS/MP18205/2026-2027/271213,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,14-Jul-26,ARVIND KUMAR PANDEY,Payment Success,374534
46010,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2026-2027/271000,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,23-Jul-26,ARVIND KUMAR PANDEY,Payment Success,775943
46011,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/215327,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,23-Jul-26,ARVIND KUMAR PANDEY,Payment Success,150855
46012,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189293,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,23-Jun-26,ARVIND KUMAR PANDEY,Payment Success,43641
46013,Uttar Pradesh,Installation of fixed garden gym equipment,WS/MP18205/2025-2026/245300,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,23-Jun-26,ARVIND KUMAR PANDEY,Payment Success,175599
46014,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/232446,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,23-Jun-26,ARVIND KUMAR PANDEY,Payment Success,580646
46015,Uttar Pradesh,Development of public parks,WS/MP18205/2025-2026/245301,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,23-Jun-26,ARVIND KUMAR PANDEY,Payment Success,411957
46016,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189168,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,23-Jun-26,ARVIND KUMAR PANDEY,Payment Success,43641
46017,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189164,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,23-Jun-26,ARVIND KUMAR PANDEY,Payment Success,43641
46018,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189158,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,23-Jun-26,ARVIND KUMAR PANDEY,Payment Success,43641
46019,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189134,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,23-Jun-26,ARVIND KUMAR PANDEY,Payment Success,43641
46020,Uttar Pradesh,Installation of fixed garden gym equipment,WS/MP18205/2025-2026/245298,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,23-Jun-26,ARVIND KUMAR PANDEY,Payment Success,175599
46021,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189130,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,22-Jun-26,ARVIND KUMAR PANDEY,Payment Success,46184
46022,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/232442,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,04-Jul-26,ARVIND KUMAR PANDEY,Payment Success,597038
46023,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/239437,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,04-Jul-26,ARVIND KUMAR PANDEY,Payment Success,125606
46024,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/232438,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,04-Jul-26,ARVIND KUMAR PANDEY,Payment Success,125343
46025,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2026-2027/262859,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,04-Jul-26,ARVIND KUMAR PANDEY,Payment Success,921324
46026,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2026-2027/262860,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,04-Jul-26,ARVIND KUMAR PANDEY,Payment Success,1136329
46027,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/232448,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,04-Jul-26,ARVIND KUMAR PANDEY,Payment Success,301700
46028,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2024-2025/148389,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,25-Feb-26,ARVIND KUMAR PANDEY,Payment Success,186720
46029,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/239435,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,27-Jan-26,ARVIND KUMAR PANDEY,Payment Success,1010100
46030,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/239434,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,27-Jan-26,ARVIND KUMAR PANDEY,Payment Success,1722903
46031,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/245145,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,07-Feb-26,ARVIND KUMAR PANDEY,Payment Success,1235610
46032,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/232446,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,07-Feb-26,ARVIND KUMAR PANDEY,Payment Success,1740480
46033,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/243446,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,07-Feb-26,ARVIND KUMAR PANDEY,Payment Success,484735
46034,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/215327,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,18-Mar-26,ARVIND KUMAR PANDEY,Payment Success,448284
46035,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/239437,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,18-Mar-26,ARVIND KUMAR PANDEY,Payment Success,373888
46036,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/232438,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,18-Mar-26,ARVIND KUMAR PANDEY,Payment Success,374051
46037,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/232448,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,18-Mar-26,ARVIND KUMAR PANDEY,Payment Success,896177
46038,Uttar Pradesh,Installation of fixed garden gym equipment,WS/MP18205/2025-2026/245299,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,16-Feb-26,ARVIND KUMAR PANDEY,Payment Success,511421
46039,Uttar Pradesh,Installation of fixed garden gym equipment,WS/MP18205/2025-2026/245298,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,16-Feb-26,ARVIND KUMAR PANDEY,Payment Success,511421
46040,Uttar Pradesh,Installation of fixed garden gym equipment,WS/MP18205/2025-2026/245300,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,16-Feb-26,ARVIND KUMAR PANDEY,Payment Success,511421
46041,Uttar Pradesh,Installation of fixed garden gym equipment,WS/MP18205/2025-2026/245299,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,23-Jun-26,ARVIND KUMAR PANDEY,Payment Success,175599
46042,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/239434,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,14-May-26,ARVIND KUMAR PANDEY,Payment Success,573637
46043,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189168,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,16-Jan-26,ARVIND KUMAR PANDEY,Payment Success,160469
46044,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189293,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,16-Jan-26,ARVIND KUMAR PANDEY,Payment Success,160469
46045,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189164,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,16-Jan-26,ARVIND KUMAR PANDEY,Payment Success,160469
46046,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/232450,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,23-Jan-26,ARVIND KUMAR PANDEY,Payment Success,597861
46047,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/232444,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,23-Jan-26,ARVIND KUMAR PANDEY,Payment Success,740950
46048,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/239436,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,23-Jan-26,ARVIND KUMAR PANDEY,Payment Success,441777
46049,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/232459,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,23-Jan-26,ARVIND KUMAR PANDEY,Payment Success,679813
46050,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/232454,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,23-Jan-26,ARVIND KUMAR PANDEY,Payment Success,449493
46051,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/245144,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,27-Jan-26,ARVIND KUMAR PANDEY,Payment Success,1195957
46052,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/232437,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,27-Jan-26,ARVIND KUMAR PANDEY,Payment Success,561120
46053,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/243444,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,25-Feb-26,ARVIND KUMAR PANDEY,Payment Success,485392
46054,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/232445,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,25-Feb-26,ARVIND KUMAR PANDEY,Payment Success,1167228
46055,Uttar Pradesh,Installation of fixed garden gym equipment,WS/MP18205/2024-2025/148336,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,17-Jul-25,ARVIND KUMAR PANDEY,Payment Success,493093
46056,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2024-2025/148392,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,17-Jul-25,ARVIND KUMAR PANDEY,Payment Success,542274
46057,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2024-2025/148384,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,19-Jul-25,ARVIND KUMAR PANDEY,Payment Success,561592
46058,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/232439,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,04-Jul-26,ARVIND KUMAR PANDEY,Payment Success,373962
46059,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2026-2027/262862,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,04-Jul-26,ARVIND KUMAR PANDEY,Payment Success,493516
46060,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2026-2027/262861,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,04-Jul-26,ARVIND KUMAR PANDEY,Payment Success,893398
46061,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/232452,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,08-Apr-26,ARVIND KUMAR PANDEY,Payment Success,1248879
46062,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/232451,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,08-Apr-26,ARVIND KUMAR PANDEY,Payment Success,486499
46063,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189132,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,12-May-26,ARVIND KUMAR PANDEY,Payment Success,49363
46064,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189131,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,12-May-26,ARVIND KUMAR PANDEY,Payment Success,49363
46065,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189162,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,12-May-26,ARVIND KUMAR PANDEY,Payment Success,49363
46066,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189285,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,12-May-26,ARVIND KUMAR PANDEY,Payment Success,49363
46067,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189133,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,12-May-26,ARVIND KUMAR PANDEY,Payment Success,49363
46068,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189160,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,12-May-26,ARVIND KUMAR PANDEY,Payment Success,49363
46069,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189166,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,12-May-26,ARVIND KUMAR PANDEY,Payment Success,49363
46070,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189287,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,12-May-26,ARVIND KUMAR PANDEY,Payment Success,49363
46071,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189286,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,12-May-26,ARVIND KUMAR PANDEY,Payment Success,49363
46072,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189288,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,12-May-26,ARVIND KUMAR PANDEY,Payment Success,49363
46073,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189289,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,12-May-26,ARVIND KUMAR PANDEY,Payment Success,49363
46074,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189292,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,12-May-26,ARVIND KUMAR PANDEY,Payment Success,49363
46075,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189145,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,12-May-26,ARVIND KUMAR PANDEY,Payment Success,49363
46076,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/243444,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,12-May-26,ARVIND KUMAR PANDEY,Payment Success,163710
46077,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/232444,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,12-May-26,ARVIND KUMAR PANDEY,Payment Success,242520
46078,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/245144,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,12-May-26,ARVIND KUMAR PANDEY,Payment Success,402381
46079,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/232437,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,12-May-26,ARVIND KUMAR PANDEY,Payment Success,187998
46080,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/188279,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,12-May-26,ARVIND KUMAR PANDEY,Payment Success,132527
46081,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/239436,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,14-May-26,ARVIND KUMAR PANDEY,Payment Success,146801
46082,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/239435,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,14-May-26,ARVIND KUMAR PANDEY,Payment Success,334531
46083,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/243446,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,20-May-26,ARVIND KUMAR PANDEY,Payment Success,144275
46084,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/232454,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,20-May-26,ARVIND KUMAR PANDEY,Payment Success,149497
46085,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/232459,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,20-May-26,ARVIND KUMAR PANDEY,Payment Success,227631
46086,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/232450,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,20-May-26,ARVIND KUMAR PANDEY,Payment Success,195460
46087,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18205/2025-2026/245145,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,20-May-26,ARVIND KUMAR PANDEY,Payment Success,412523
46088,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189286,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,14-Jan-26,ARVIND KUMAR PANDEY,Payment Success,155445
46089,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189287,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,14-Jan-26,ARVIND KUMAR PANDEY,Payment Success,155445
46090,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189288,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,14-Jan-26,ARVIND KUMAR PANDEY,Payment Success,155445
46091,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189289,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,14-Jan-26,ARVIND KUMAR PANDEY,Payment Success,155445
46092,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189158,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,14-Jan-26,ARVIND KUMAR PANDEY,Payment Success,160469
46093,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189134,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,14-Jan-26,ARVIND KUMAR PANDEY,Payment Success,160469
46094,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189130,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,14-Jan-26,ARVIND KUMAR PANDEY,Payment Success,157603
46095,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189285,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,14-Jan-26,ARVIND KUMAR PANDEY,Payment Success,155445
46096,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189292,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,14-Jan-26,ARVIND KUMAR PANDEY,Payment Success,155445
46097,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189132,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,14-Jan-26,ARVIND KUMAR PANDEY,Payment Success,155445
46098,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189145,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,14-Jan-26,ARVIND KUMAR PANDEY,Payment Success,155445
46099,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189160,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,14-Jan-26,ARVIND KUMAR PANDEY,Payment Success,155445
46100,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189131,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,14-Jan-26,ARVIND KUMAR PANDEY,Payment Success,155445
46101,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189133,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,14-Jan-26,ARVIND KUMAR PANDEY,Payment Success,155445
46102,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189162,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,14-Jan-26,ARVIND KUMAR PANDEY,Payment Success,155445
46103,Uttar Pradesh,Street lights,WS/MP18205/2025-2026/189166,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,14-Jan-26,ARVIND KUMAR PANDEY,Payment Success,155445
46104,Uttar Pradesh,Installation of fixed garden gym equipment,WS/MP18205/2025-2026/148489,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),SANATAN PANDEY,BALLIA,11-Dec-25,ARVIND KUMAR PANDEY,Payment Success,513599
46105,Uttar Pradesh,Installation of fixed garden gym equipment,WS/MP18205/2025-2026/148488,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),SANATAN PANDEY,BALLIA,16-Sep-25,ARVIND KUMAR PANDEY,Payment Success,492926
46106,Uttar Pradesh,Installation of fixed garden gym equipment,WS/MP18205/2025-2026/148491,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),SANATAN PANDEY,BALLIA,10-Oct-25,ARVIND KUMAR PANDEY,Payment Success,514853
