state,mp_name,constituency,allocated_amount,house,source_file,election_type
Rajasthan,BHAJAN LAL JATAV,KARAULI-DHOLPUR(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,BHARAT SINGH KUSHWAH,GWALIOR,151455276.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,BHARATBHAI MANUBHAI SUTARIYA,AMRELI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,Bharatsinhji Shankarji Dabhi,PATAN,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,BHARTI PARDHI,BALAGHAT,154398389.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,BHASKAR MURLIDHAR BHAGARE,DINDORI(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,BHAUSAHEB RAJARAM WAKCHAURE,SHIRDI(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Chhattisgarh,BHOJRAJ NAG,KANKER(ST),164672734.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,Bhola Singh,BULANDSHAHR(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,BHUMARE SANDIPANRAO ASARAM,AURANGABAD_MH,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,Bhupathiraju Srinivasa varma,NARASAPURAM,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Rajasthan,BHUPENDER YADAV,ALWAR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Odisha,BIBHU PRASAD TARAI,JAGATSINGHPUR(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Jharkhand,Bidyut Baran Mahato,JAMSHEDPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Assam,BIJULI KALITA MEDHI,GUWAHATI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tripura,BIPLAB KUMAR DEB,TRIPURA WEST,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andaman And Nicobar Islands,BISHNU PADA RAY,ANDAMAN AND NICOBAR ISLANDS,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Rajasthan,BRIJENDRA SINGH OLA,JHUNJHUNU,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Chhattisgarh,BRIJMOHAN AGRAWAL,RAIPUR,153766451.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,BUNTY VIVEK SAHU,CHHINDWARA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,C R Patil,NAVSARI,158532494.4,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,C.M.RAMESH,ANAKAPALLE,202531656.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,CAPTAIN BRIJESH CHOWTA,DAKSHINA KANNADA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Goa,CAPTAIN VIRIATO FERNANDES,SOUTH GOA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Telangana,CHAMALA KIRAN KUMAR REDDY,BHONGIR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,CHANDAN CHAUHAN,BIJNOR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Rajasthan,Chandra Prakash Joshi,CHITTORGARH,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,CHANDRA SHEKHAR,NAGINA(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,CHANDUBHAI CHHAGANBHAI SHIHORA,SURENDRANAGAR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Punjab,CHARANJIT SINGH CHANNI,JALANDHAR(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,CHAVAN VASANTRAO BALWANTRAO,NANDED,,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,CHHATRA PAL SINGH GANGWAR,BAREILLY,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,CHHATRAPATI SHAHU SHAHAJI,KOLHAPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,CHHOTELAL,ROBERTSGANJ(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Chhattisgarh,CHINTAMANI MAHARAJ,SARGUJA(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,CHIRAG PASWAN,HAJIPUR(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,CN Annadurai,TIRUVANNAMALAI,148579509.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,D M Kathir Anand,VELLORE,160196941.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,D Ravikumar,VILUPPURAM(SC),197598306.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,Daggubati Purandeshwari,RAJAHMUNDRY,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,DAGGUMALLA PRASADA RAO,CHITTOOR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Rajasthan,DAMODAR AGARWAL,BHILWARA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,DAROGA PRASAD SAROJ,LALGANJ (SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,DARSHAN SINGH CHOUDHARY,HOSHANGABAD,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Haryana,DEEPENDER SINGH HOODA,ROHTAK,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,Devendra Alias Bhole Singh,AKBARPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,DEVESH CHANDRA THAKUR,SITAMARHI,163809205.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,DEVESH SHAKYA,ETAH,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,Devusinh Jesingbhai Chauhan,KHEDA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,Dhairyasheel Sambhajirao Mane,HATKANANGLE,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,CHANDRAPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Odisha,DHARMENDRA PRADHAN,SAMBALPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,DHARMENDRA YADAV,AZAMGARH,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,DHAVAL LAXMANBHAI PATEL,VALSAD(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,Dileshwar Kamait,SUPAUL,150450930.9,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Assam,Dilip Saikia,Darrang-Udalguri,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,Dinesh Chandra Yadav,MADHEPURA,150070866.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,DINESHBHAI MAKWANA,AHMEDABAD WEST(SC),160434965.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,DR BYREDDY SHABARI,NANDYAL,150675889.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,DR C N MANJUNATH,BANGALORE RURAL,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,Dr Chandra Sekhar Pemmasani,GUNTUR,159774113.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Punjab,DR DHARAMVIRA GANDHI,PATIALA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,Dr Jayanta Kumar Roy,JALPAIGURI(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,DR KALGE SHIVAJI BANDAPPA,LATUR(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,Dr Mohammad Jawed,KISHANGANJ,148669229.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,DR RAJKUMAR SANGWAN,BAGHPAT,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,DR RANI SRI KUMAR,TENKASI(SC),153060922.8,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Kerala,Dr Shashi Tharoor,THIRUVANANTHAPURAM,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,Dr Sukanta Majumdar,BALURGHAT,157085364.9,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,DR. HEMANG JOSHI,VADODARA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,DR. HEMANT VISHNU SAVARA,PALGHAR(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,DR. LATA WANKHEDE,SAGAR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Kerala,DR. M.P ABDUSSAMAD SAMADANI,PONNANI,170434031.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,DR. MANSUKH MANDAVIYA,PORBANDAR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,DR. PRABHA MALLIKARJUN,DAVANAGERE,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Odisha,DR. PRADEEP KUMAR PANIGRAHY,BERHAMPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,DR. PRASHANT YADAORAO PADOLE,BHANDARA-GONDIYA,159680283.4,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Punjab,DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,DR. RAJESH MISHRA,SIDHI,262724510.4,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,DR. S P SINGH,PRATAPGARH,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,DR. SHARMILA SARKAR,BARDHAMAN PURBA(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,DR.K.SUDHAKAR,CHIKBALLAPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Telangana,DR.MALLU RAVI,NAGARKURNOOL(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Jharkhand,DULU MAHATO,DHANBAD,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,DURAI VAIKO,TIRUCHIRAPPALLI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,Durga Das Uikey,BETUL(ST),151569502.9,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Rajasthan,Dushyant Singh,JHALAWAR-BARAN,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,E. TUKARAM,BELLARY(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Kerala,E.T. MOHAMMED BASHEER,MALAPPURAM,163895872.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Telangana,EATALA RAJENDER,MALKAJGIRI,327477390.9,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,ESWARASAMY K,POLLACHI,162315106.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,Faggan Singh Kulaste,MANDLA(ST),151861648.4,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,G. KUMAR NAIK,RAICHUR(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,GAIKWAD VARSHA EKNATH,MUMBAI NORTH-CENTRAL,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,Gajendra Singh Patel,KHARGONE(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Rajasthan,Gajendra Singh Shekhawat,JODHPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,GANAPATHY RAJKUMAR P,COIMBATORE,147370490.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,Ganesan Selvam,KANCHEEPURAM(SC),186508749.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,Ganesh Singh,SATNA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Assam,GAURAV GOGOI,JORHAT,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,GENIBEN NAGAJI THAKOR,BANASKANTHA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,Giridhari Yadav,BANKA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,Giriraj Singh,BEGUSARAI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,GM Harish Balayogi,AMALAPURAM(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Telangana,GODAM NAGESH,ADILABAD(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,GOPINATH K,KRISHNAGIRI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,Gumma Thanuja Rani,ARAKU(ST),149458905.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Punjab,GURMEET SINGH MEET HAYER,SANGRUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,Gyaneshwar Patil,KHANDWA,155690684.8,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,H.D. KUMARASWAMY,MANDYA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,HARENDRA SINGH MALIK,MUZAFFARNAGAR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,HARIBHAI PATEL,MAHESANA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Rajasthan,HARISH CHANDRA MEENA,TONK-SAWAI MADHOPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Delhi,Harsh Malhotra,EAST DELHI,147134131.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,Hasmukh Bhai Soma Bhai Patel,AHMEDABAD EAST,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,IMRAN MASOOD,SAHARANPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Sikkim,Indra Hang Subba,SIKKIM,152003923.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,IQRA CHOUDHARY,KAIRANA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,ISHA KHAN CHOUDHURY,MALDAHA DAKSHIN,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,JAGADISH CHANDRA BARMA BASUNIA,COOCHBEHAR(SC),168604641.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,JAGADISH SHETTAR,BELGAUM,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,Jagannath Sarkar,RANAGHAT(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,Jagdambika Pal,DOMARIYAGANJ,160643957.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Haryana,JAI PARKASH,HISAR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,Jai Prakash,HARDOI (SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,Janardan Mishra,REWA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,JASHUBHAI BHILUBHAI RATHVA,CHHOTA UDAIPUR(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,JITAN RAM MANJHI,GAYA (SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,JITENDRA KUMAR DOHARE,ETAWAH(SC),188747306.3,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Jammu And Kashmir,Jitendra Singh,UDHAMPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,JITIN PRASADA,PILIBHIT,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
