state,constituency,mp_name,work_title,completion_date,work_status,house,source_file,election_type
Uttar Pradesh,Constituency_231,MP_Name_231,UP/836/2023-2024/2319 - Construction of Electricity facility,2022-08-19,Completed,Lok Sabha,Works Completed_2024.csv,
Madhya Pradesh,Constituency_111,MP_Name_111,MP/525/2022-2023/1615 - Construction of Education facility,2022-11-18,Completed,Lok Sabha,Works Completed_2024.csv,
Bihar,Constituency_155,MP_Name_155,BR/400/2021-2022/1860 - Construction of Drinking Water facility,2024-07-18,Completed,Lok Sabha,Works Completed_2024.csv,
Maharashtra,Constituency_49,MP_Name_49,MH/617/2023-2024/1269 - Construction of Electricity facility,2021-08-06,Completed,Lok Sabha,Works Completed_2024.csv,
Karnataka,Constituency_262,MP_Name_262,KA/391/2023-2024/2479 - Construction of Electricity facility,2024-09-17,Completed,Lok Sabha,Works Completed_2024.csv,
Maharashtra,Constituency_218,MP_Name_218,MH/152/2023-2024/2252 - Construction of Drinking Water facility,2023-05-08,Completed,Lok Sabha,Works Completed_2024.csv,
Tamil Nadu,Constituency_38,MP_Name_38,TN/799/2023-2024/1205 - Construction of Education facility,2021-04-17,Completed,Lok Sabha,Works Completed_2024.csv,
Madhya Pradesh,Constituency_333,MP_Name_333,MP/546/2022-2023/2875 - Construction of Drinking Water facility,2023-05-13,Completed,Lok Sabha,Works Completed_2024.csv,
West Bengal,Constituency_285,MP_Name_285,WB/152/2021-2022/2606 - Construction of Electricity facility,2021-01-12,Completed,Lok Sabha,Works Completed_2024.csv,
Rajasthan,Constituency_160,MP_Name_160,RJ/974/2023-2024/1889 - Construction of Electricity facility,2023-05-17,Completed,Lok Sabha,Works Completed_2024.csv,
Karnataka,Constituency_408,MP_Name_408,KA/900/2023-2024/3279 - Construction of Roads facility,2021-06-29,Completed,Lok Sabha,Works Completed_2024.csv,
Rajasthan,Constituency_74,MP_Name_74,RJ/603/2023-2024/1415 - Construction of Electricity facility,2022-05-12,Completed,Lok Sabha,Works Completed_2024.csv,
West Bengal,Constituency_395,MP_Name_395,WB/837/2021-2022/3208 - Construction of Education facility,2023-01-09,Completed,Lok Sabha,Works Completed_2024.csv,
Rajasthan,Constituency_228,MP_Name_228,RJ/487/2022-2023/2304 - Construction of Sanitation facility,2022-10-22,Completed,Lok Sabha,Works Completed_2024.csv,
West Bengal,Constituency_431,MP_Name_431,WB/433/2023-2024/3399 - Construction of Education facility,2022-10-13,Completed,Lok Sabha,Works Completed_2024.csv,
Gujarat,Constituency_416,MP_Name_416,GJ/959/2023-2024/3315 - Construction of Roads facility,2024-02-26,Completed,Lok Sabha,Works Completed_2024.csv,
Tamil Nadu,Constituency_462,MP_Name_462,TN/783/2021-2022/3565 - Construction of Roads facility,2024-09-30,Completed,Lok Sabha,Works Completed_2024.csv,
Tamil Nadu,Constituency_210,MP_Name_210,TN/816/2022-2023/2201 - Construction of Sanitation facility,2024-11-11,Completed,Lok Sabha,Works Completed_2024.csv,
Karnataka,Constituency_531,MP_Name_531,KA/973/2022-2023/3955 - Construction of Roads facility,2023-02-28,Completed,Lok Sabha,Works Completed_2024.csv,
Tamil Nadu,Constituency_345,MP_Name_345,TN/369/2022-2023/2940 - Construction of Drinking Water facility,2024-08-10,Completed,Lok Sabha,Works Completed_2024.csv,
Karnataka,Constituency_262,MP_Name_262,KA/709/2023-2024/2481 - Construction of Sanitation facility,2021-12-03,Completed,Lok Sabha,Works Completed_2024.csv,
Tamil Nadu,Constituency_366,MP_Name_366,TN/433/2023-2024/3032 - Construction of Electricity facility,2023-04-04,Completed,Lok Sabha,Works Completed_2024.csv,
Karnataka,Constituency_190,MP_Name_190,KA/246/2022-2023/2074 - Construction of Education facility,2021-08-09,Completed,Lok Sabha,Works Completed_2024.csv,
Bihar,Constituency_107,MP_Name_107,BR/715/2021-2022/1593 - Construction of Sanitation facility,2022-08-07,Completed,Lok Sabha,Works Completed_2024.csv,
Maharashtra,Constituency_288,MP_Name_288,MH/713/2022-2023/2626 - Construction of Roads facility,2024-09-14,Completed,Lok Sabha,Works Completed_2024.csv,
Gujarat,Constituency_451,MP_Name_451,GJ/435/2021-2022/3510 - Construction of Drinking Water facility,2021-02-01,Completed,Lok Sabha,Works Completed_2024.csv,
Gujarat,Constituency_428,MP_Name_428,GJ/260/2022-2023/3380 - Construction of Electricity facility,2023-12-11,Completed,Lok Sabha,Works Completed_2024.csv,
Tamil Nadu,Constituency_97,MP_Name_97,TN/866/2023-2024/1542 - Construction of Roads facility,2023-10-01,Completed,Lok Sabha,Works Completed_2024.csv,
Maharashtra,Constituency_515,MP_Name_515,MH/233/2023-2024/3857 - Construction of Education facility,2024-09-12,Completed,Lok Sabha,Works Completed_2024.csv,
Bihar,Constituency_286,MP_Name_286,BR/270/2023-2024/2609 - Construction of Drinking Water facility,2024-09-24,Completed,Lok Sabha,Works Completed_2024.csv,
Bihar,Constituency_286,MP_Name_286,BR/757/2022-2023/2611 - Construction of Health facility,2024-02-02,Completed,Lok Sabha,Works Completed_2024.csv,
Tamil Nadu,Constituency_186,MP_Name_186,TN/804/2022-2023/2048 - Construction of Education facility,2022-04-29,Completed,Lok Sabha,Works Completed_2024.csv,
West Bengal,Constituency_113,MP_Name_113,WB/252/2021-2022/1626 - Construction of Education facility,2022-10-30,Completed,Lok Sabha,Works Completed_2024.csv,
Madhya Pradesh,Constituency_253,MP_Name_253,MP/171/2022-2023/2440 - Construction of Electricity facility,2021-03-28,Completed,Lok Sabha,Works Completed_2024.csv,
Karnataka,Constituency_71,MP_Name_71,KA/988/2023-2024/1402 - Construction of Health facility,2023-03-14,Completed,Lok Sabha,Works Completed_2024.csv,
Uttar Pradesh,Constituency_147,MP_Name_147,UP/100/2021-2022/1809 - Construction of Roads facility,2024-09-05,Completed,Lok Sabha,Works Completed_2024.csv,
Rajasthan,Constituency_160,MP_Name_160,RJ/977/2022-2023/1888 - Construction of Electricity facility,2023-05-19,Completed,Lok Sabha,Works Completed_2024.csv,
Delhi,Constituency_59,MP_Name_59,DL/444/2022-2023/1326 - Construction of Electricity facility,2024-12-30,Completed,Lok Sabha,Works Completed_2024.csv,
Tamil Nadu,Constituency_161,MP_Name_161,TN/760/2022-2023/1899 - Construction of Roads facility,2021-05-01,Completed,Lok Sabha,Works Completed_2024.csv,
Madhya Pradesh,Constituency_527,MP_Name_527,MP/927/2022-2023/3929 - Construction of Education facility,2023-11-19,Completed,Lok Sabha,Works Completed_2024.csv,
Bihar,Constituency_504,MP_Name_504,BR/937/2023-2024/3800 - Construction of Sanitation facility,2024-06-27,Completed,Lok Sabha,Works Completed_2024.csv,
Rajasthan,Constituency_332,MP_Name_332,RJ/413/2023-2024/2865 - Construction of Roads facility,2024-05-21,Completed,Lok Sabha,Works Completed_2024.csv,
Madhya Pradesh,Constituency_47,MP_Name_47,MP/866/2023-2024/1258 - Construction of Education facility,2024-12-31,Completed,Lok Sabha,Works Completed_2024.csv,
Rajasthan,Constituency_165,MP_Name_165,RJ/802/2021-2022/1923 - Construction of Roads facility,2022-03-25,Completed,Lok Sabha,Works Completed_2024.csv,
Bihar,Constituency_448,MP_Name_448,BR/416/2021-2022/3495 - Construction of Drinking Water facility,2022-11-17,Completed,Lok Sabha,Works Completed_2024.csv,
Uttar Pradesh,Constituency_2,MP_Name_2,UP/653/2021-2022/1013 - Construction of Sanitation facility,2022-12-01,Completed,Lok Sabha,Works Completed_2024.csv,
West Bengal,Constituency_240,MP_Name_240,WB/630/2021-2022/2369 - Construction of Sanitation facility,2024-01-08,Completed,Lok Sabha,Works Completed_2024.csv,
Uttar Pradesh,Constituency_195,MP_Name_195,UP/436/2021-2022/2099 - Construction of Electricity facility,2023-08-07,Completed,Lok Sabha,Works Completed_2024.csv,
Tamil Nadu,Constituency_326,MP_Name_326,TN/902/2021-2022/2832 - Construction of Education facility,2024-01-05,Completed,Lok Sabha,Works Completed_2024.csv,
Uttar Pradesh,Constituency_426,MP_Name_426,UP/199/2022-2023/3369 - Construction of Health facility,2021-06-16,Completed,Lok Sabha,Works Completed_2024.csv,
Madhya Pradesh,Constituency_245,MP_Name_245,MP/484/2021-2022/2403 - Construction of Sanitation facility,2024-09-20,Completed,Lok Sabha,Works Completed_2024.csv,
Karnataka,Constituency_422,MP_Name_422,KA/160/2022-2023/3346 - Construction of Drinking Water facility,2022-07-11,Completed,Lok Sabha,Works Completed_2024.csv,
West Bengal,Constituency_72,MP_Name_72,WB/623/2022-2023/1404 - Construction of Roads facility,2023-12-25,Completed,Lok Sabha,Works Completed_2024.csv,
Tamil Nadu,Constituency_70,MP_Name_70,TN/208/2021-2022/1389 - Construction of Health facility,2023-12-03,Completed,Lok Sabha,Works Completed_2024.csv,
West Bengal,Constituency_296,MP_Name_296,WB/829/2023-2024/2672 - Construction of Education facility,2024-04-16,Completed,Lok Sabha,Works Completed_2024.csv,
Maharashtra,Constituency_456,MP_Name_456,MH/640/2022-2023/3530 - Construction of Drinking Water facility,2022-08-17,Completed,Lok Sabha,Works Completed_2024.csv,
Karnataka,Constituency_3,MP_Name_3,KA/819/2023-2024/1016 - Construction of Health facility,2024-09-08,Completed,Lok Sabha,Works Completed_2024.csv,
West Bengal,Constituency_17,MP_Name_17,WB/424/2022-2023/1091 - Construction of Education facility,2021-08-07,Completed,Lok Sabha,Works Completed_2024.csv,
Rajasthan,Constituency_224,MP_Name_224,RJ/683/2022-2023/2281 - Construction of Sanitation facility,2024-10-01,Completed,Lok Sabha,Works Completed_2024.csv,
Karnataka,Constituency_445,MP_Name_445,KA/397/2021-2022/3480 - Construction of Health facility,2022-10-28,Completed,Lok Sabha,Works Completed_2024.csv,
Rajasthan,Constituency_542,MP_Name_542,RJ/161/2023-2024/4024 - Construction of Sanitation facility,2021-03-25,Completed,Lok Sabha,Works Completed_2024.csv,
Tamil Nadu,Constituency_440,MP_Name_440,TN/932/2022-2023/3456 - Construction of Drinking Water facility,2022-04-26,Completed,Lok Sabha,Works Completed_2024.csv,
Maharashtra,Constituency_114,MP_Name_114,MH/953/2023-2024/1637 - Construction of Electricity facility,2022-01-30,Completed,Lok Sabha,Works Completed_2024.csv,
Karnataka,Constituency_130,MP_Name_130,KA/608/2023-2024/1722 - Construction of Education facility,2023-02-23,Completed,Lok Sabha,Works Completed_2024.csv,
Uttar Pradesh,Constituency_167,MP_Name_167,UP/295/2023-2024/1941 - Construction of Drinking Water facility,2022-10-10,Completed,Lok Sabha,Works Completed_2024.csv,
Rajasthan,Constituency_26,MP_Name_26,RJ/377/2023-2024/1141 - Construction of Education facility,2022-08-11,Completed,Lok Sabha,Works Completed_2024.csv,
Gujarat,Constituency_84,MP_Name_84,GJ/480/2021-2022/1463 - Construction of Electricity facility,2021-01-30,Completed,Lok Sabha,Works Completed_2024.csv,
Karnataka,Constituency_465,MP_Name_465,KA/167/2023-2024/3585 - Construction of Education facility,2023-07-25,Completed,Lok Sabha,Works Completed_2024.csv,
Karnataka,Constituency_137,MP_Name_137,KA/323/2021-2022/1752 - Construction of Electricity facility,2023-07-21,Completed,Lok Sabha,Works Completed_2024.csv,
Gujarat,Constituency_227,MP_Name_227,GJ/168/2022-2023/2299 - Construction of Drinking Water facility,2024-01-04,Completed,Lok Sabha,Works Completed_2024.csv,
Karnataka,Constituency_19,MP_Name_19,KA/452/2021-2022/1101 - Construction of Drinking Water facility,2023-10-18,Completed,Lok Sabha,Works Completed_2024.csv,
Tamil Nadu,Constituency_75,MP_Name_75,TN/119/2021-2022/1422 - Construction of Sanitation facility,2022-04-15,Completed,Lok Sabha,Works Completed_2024.csv,
Delhi,Constituency_31,MP_Name_31,DL/525/2021-2022/1165 - Construction of Education facility,2024-01-19,Completed,Lok Sabha,Works Completed_2024.csv,
Rajasthan,Constituency_332,MP_Name_332,RJ/858/2022-2023/2868 - Construction of Electricity facility,2022-05-21,Completed,Lok Sabha,Works Completed_2024.csv,
Rajasthan,Constituency_200,MP_Name_200,RJ/124/2021-2022/2136 - Construction of Drinking Water facility,2021-08-17,Completed,Lok Sabha,Works Completed_2024.csv,
Bihar,Constituency_214,MP_Name_214,BR/776/2022-2023/2227 - Construction of Roads facility,2024-04-03,Completed,Lok Sabha,Works Completed_2024.csv,
Tamil Nadu,Constituency_20,MP_Name_20,TN/841/2023-2024/1107 - Construction of Sanitation facility,2024-07-04,Completed,Lok Sabha,Works Completed_2024.csv,
Bihar,Constituency_152,MP_Name_152,BR/756/2022-2023/1842 - Construction of Health facility,2024-07-10,Completed,Lok Sabha,Works Completed_2024.csv,
Karnataka,Constituency_237,MP_Name_237,KA/666/2021-2022/2355 - Construction of Drinking Water facility,2023-09-02,Completed,Lok Sabha,Works Completed_2024.csv,
Rajasthan,Constituency_492,MP_Name_492,RJ/970/2022-2023/3736 - Construction of Electricity facility,2023-11-17,Completed,Lok Sabha,Works Completed_2024.csv,
Madhya Pradesh,Constituency_204,MP_Name_204,MP/784/2021-2022/2166 - Construction of Education facility,2022-02-14,Completed,Lok Sabha,Works Completed_2024.csv,
West Bengal,Constituency_526,MP_Name_526,WB/792/2023-2024/3927 - Construction of Health facility,2024-12-03,Completed,Lok Sabha,Works Completed_2024.csv,
Tamil Nadu,Constituency_191,MP_Name_191,TN/884/2021-2022/2078 - Construction of Roads facility,2022-03-29,Completed,Lok Sabha,Works Completed_2024.csv,
Uttar Pradesh,Constituency_171,MP_Name_171,UP/229/2022-2023/1959 - Construction of Drinking Water facility,2023-09-06,Completed,Lok Sabha,Works Completed_2024.csv,
Gujarat,Constituency_227,MP_Name_227,GJ/324/2023-2024/2297 - Construction of Roads facility,2021-07-05,Completed,Lok Sabha,Works Completed_2024.csv,
Maharashtra,Constituency_417,MP_Name_417,MH/440/2021-2022/3319 - Construction of Roads facility,2024-09-21,Completed,Lok Sabha,Works Completed_2024.csv,
Maharashtra,Constituency_482,MP_Name_482,MH/679/2022-2023/3673 - Construction of Roads facility,2021-07-22,Completed,Lok Sabha,Works Completed_2024.csv,
Bihar,Constituency_254,MP_Name_254,BR/743/2021-2022/2446 - Construction of Roads facility,2023-03-16,Completed,Lok Sabha,Works Completed_2024.csv,
Karnataka,Constituency_129,MP_Name_129,KA/614/2021-2022/1713 - Construction of Roads facility,2021-04-12,Completed,Lok Sabha,Works Completed_2024.csv,
Tamil Nadu,Constituency_205,MP_Name_205,TN/430/2023-2024/2173 - Construction of Drinking Water facility,2022-02-03,Completed,Lok Sabha,Works Completed_2024.csv,
Madhya Pradesh,Constituency_177,MP_Name_177,MP/260/2022-2023/1995 - Construction of Sanitation facility,2023-05-30,Completed,Lok Sabha,Works Completed_2024.csv,
Madhya Pradesh,Constituency_11,MP_Name_11,MP/336/2021-2022/1059 - Construction of Drinking Water facility,2024-08-28,Completed,Lok Sabha,Works Completed_2024.csv,
Uttar Pradesh,Constituency_115,MP_Name_115,UP/303/2022-2023/1640 - Construction of Education facility,2022-08-03,Completed,Lok Sabha,Works Completed_2024.csv,
Delhi,Constituency_64,MP_Name_64,DL/232/2022-2023/1353 - Construction of Electricity facility,2022-03-10,Completed,Lok Sabha,Works Completed_2024.csv,
Bihar,Constituency_152,MP_Name_152,BR/914/2023-2024/1839 - Construction of Drinking Water facility,2024-04-06,Completed,Lok Sabha,Works Completed_2024.csv,
Rajasthan,Constituency_348,MP_Name_348,RJ/518/2023-2024/2950 - Construction of Electricity facility,2023-01-07,Completed,Lok Sabha,Works Completed_2024.csv,
Bihar,Constituency_286,MP_Name_286,BR/689/2021-2022/2612 - Construction of Sanitation facility,2024-01-11,Completed,Lok Sabha,Works Completed_2024.csv,
West Bengal,Constituency_419,MP_Name_419,WB/895/2023-2024/3332 - Construction of Sanitation facility,2023-11-15,Completed,Lok Sabha,Works Completed_2024.csv,
Tamil Nadu,Constituency_75,MP_Name_75,TN/911/2021-2022/1419 - Construction of Health facility,2023-01-08,Completed,Lok Sabha,Works Completed_2024.csv,
Rajasthan,Constituency_455,MP_Name_455,RJ/779/2023-2024/3528 - Construction of Sanitation facility,2021-04-07,Completed,Lok Sabha,Works Completed_2024.csv,
Gujarat,Constituency_321,MP_Name_321,GJ/518/2023-2024/2804 - Construction of Sanitation facility,2024-03-05,Completed,Lok Sabha,Works Completed_2024.csv,
Karnataka,Constituency_164,MP_Name_164,KA/755/2022-2023/1916 - Construction of Electricity facility,2023-04-28,Completed,Lok Sabha,Works Completed_2024.csv,
Maharashtra,Constituency_543,MP_Name_543,MH/830/2023-2024/4028 - Construction of Health facility,2022-06-12,Completed,Lok Sabha,Works Completed_2024.csv,
Maharashtra,Constituency_8,MP_Name_8,MH/669/2022-2023/1044 - Construction of Education facility,2021-08-14,Completed,Lok Sabha,Works Completed_2024.csv,
Tamil Nadu,Constituency_434,MP_Name_434,TN/799/2022-2023/3421 - Construction of Education facility,2022-06-04,Completed,Lok Sabha,Works Completed_2024.csv,
Delhi,Constituency_423,MP_Name_423,DL/813/2021-2022/3352 - Construction of Electricity facility,2022-11-21,Completed,Lok Sabha,Works Completed_2024.csv,
Bihar,Constituency_377,MP_Name_377,BR/243/2022-2023/3096 - Construction of Electricity facility,2023-12-01,Completed,Lok Sabha,Works Completed_2024.csv,
Rajasthan,Constituency_66,MP_Name_66,RJ/355/2021-2022/1364 - Construction of Drinking Water facility,2024-01-13,Completed,Lok Sabha,Works Completed_2024.csv,
Rajasthan,Constituency_306,MP_Name_306,RJ/165/2021-2022/2716 - Construction of Electricity facility,2023-07-05,Completed,Lok Sabha,Works Completed_2024.csv,
Gujarat,Constituency_267,MP_Name_267,GJ/634/2023-2024/2504 - Construction of Health facility,2022-11-20,Completed,Lok Sabha,Works Completed_2024.csv,
Delhi,Constituency_496,MP_Name_496,DL/941/2022-2023/3759 - Construction of Electricity facility,2024-03-28,Completed,Lok Sabha,Works Completed_2024.csv,
West Bengal,Constituency_18,MP_Name_18,WB/585/2023-2024/1093 - Construction of Sanitation facility,2023-07-27,Completed,Lok Sabha,Works Completed_2024.csv,
Maharashtra,Constituency_373,MP_Name_373,MH/691/2021-2022/3072 - Construction of Health facility,2024-03-01,Completed,Lok Sabha,Works Completed_2024.csv,
Rajasthan,Constituency_425,MP_Name_425,RJ/561/2023-2024/3362 - Construction of Health facility,2023-09-06,Completed,Lok Sabha,Works Completed_2024.csv,
Madhya Pradesh,Constituency_335,MP_Name_335,MP/535/2021-2022/2884 - Construction of Health facility,2022-02-20,Completed,Lok Sabha,Works Completed_2024.csv,
Uttar Pradesh,Constituency_94,MP_Name_94,UP/467/2023-2024/1521 - Construction of Health facility,2024-01-30,Completed,Lok Sabha,Works Completed_2024.csv,
Bihar,Constituency_448,MP_Name_448,BR/670/2021-2022/3490 - Construction of Electricity facility,2023-03-09,Completed,Lok Sabha,Works Completed_2024.csv,
Tamil Nadu,Constituency_197,MP_Name_197,TN/355/2021-2022/2113 - Construction of Electricity facility,2024-05-13,Completed,Lok Sabha,Works Completed_2024.csv,
West Bengal,Constituency_370,MP_Name_370,WB/832/2021-2022/3055 - Construction of Drinking Water facility,2023-05-11,Completed,Lok Sabha,Works Completed_2024.csv,
West Bengal,Constituency_468,MP_Name_468,WB/968/2022-2023/3605 - Construction of Sanitation facility,2023-02-13,Completed,Lok Sabha,Works Completed_2024.csv,
Gujarat,Constituency_163,MP_Name_163,GJ/998/2022-2023/1909 - Construction of Sanitation facility,2023-06-03,Completed,Lok Sabha,Works Completed_2024.csv,
Tamil Nadu,Constituency_304,MP_Name_304,TN/699/2023-2024/2705 - Construction of Health facility,2022-12-10,Completed,Lok Sabha,Works Completed_2024.csv,
Rajasthan,Constituency_34,MP_Name_34,RJ/721/2021-2022/1180 - Construction of Sanitation facility,2023-04-03,Completed,Lok Sabha,Works Completed_2024.csv,
Karnataka,Constituency_521,MP_Name_521,KA/875/2023-2024/3900 - Construction of Sanitation facility,2021-04-30,Completed,Lok Sabha,Works Completed_2024.csv,
Gujarat,Constituency_392,MP_Name_392,GJ/171/2021-2022/3195 - Construction of Electricity facility,2023-07-07,Completed,Lok Sabha,Works Completed_2024.csv,
West Bengal,Constituency_312,MP_Name_312,WB/391/2022-2023/2748 - Construction of Sanitation facility,2022-03-29,Completed,Lok Sabha,Works Completed_2024.csv,
Rajasthan,Constituency_297,MP_Name_297,RJ/585/2021-2022/2677 - Construction of Sanitation facility,2022-03-20,Completed,Lok Sabha,Works Completed_2024.csv,
Gujarat,Constituency_476,MP_Name_476,GJ/158/2023-2024/3648 - Construction of Health facility,2021-06-26,Completed,Lok Sabha,Works Completed_2024.csv,
Karnataka,Constituency_108,MP_Name_108,KA/158/2022-2023/1604 - Construction of Health facility,2024-07-12,Completed,Lok Sabha,Works Completed_2024.csv,
Uttar Pradesh,Constituency_494,MP_Name_494,UP/159/2022-2023/3743 - Construction of Health facility,2023-06-03,Completed,Lok Sabha,Works Completed_2024.csv,
Bihar,Constituency_525,MP_Name_525,BR/489/2021-2022/3918 - Construction of Education facility,2023-01-24,Completed,Lok Sabha,Works Completed_2024.csv,
West Bengal,Constituency_120,MP_Name_120,WB/945/2022-2023/1668 - Construction of Roads facility,2022-04-02,Completed,Lok Sabha,Works Completed_2024.csv,
Gujarat,Constituency_154,MP_Name_154,GJ/340/2022-2023/1851 - Construction of Drinking Water facility,2022-10-05,Completed,Lok Sabha,Works Completed_2024.csv,
Tamil Nadu,Constituency_213,MP_Name_213,TN/552/2022-2023/2223 - Construction of Health facility,2022-05-14,Completed,Lok Sabha,Works Completed_2024.csv,
Maharashtra,Constituency_30,MP_Name_30,MH/603/2022-2023/1158 - Construction of Electricity facility,2021-02-24,Completed,Lok Sabha,Works Completed_2024.csv,
Madhya Pradesh,Constituency_243,MP_Name_243,MP/426/2021-2022/2389 - Construction of Drinking Water facility,2021-08-05,Completed,Lok Sabha,Works Completed_2024.csv,
West Bengal,Constituency_185,MP_Name_185,WB/539/2023-2024/2040 - Construction of Sanitation facility,2021-02-17,Completed,Lok Sabha,Works Completed_2024.csv,
West Bengal,Constituency_336,MP_Name_336,WB/974/2023-2024/2887 - Construction of Electricity facility,2023-03-24,Completed,Lok Sabha,Works Completed_2024.csv,
Maharashtra,Constituency_142,MP_Name_142,MH/152/2021-2022/1787 - Construction of Health facility,2021-01-17,Completed,Lok Sabha,Works Completed_2024.csv,
Madhya Pradesh,Constituency_292,MP_Name_292,MP/173/2023-2024/2653 - Construction of Education facility,2021-12-27,Completed,Lok Sabha,Works Completed_2024.csv,
Tamil Nadu,Constituency_191,MP_Name_191,TN/542/2021-2022/2080 - Construction of Roads facility,2021-01-29,Completed,Lok Sabha,Works Completed_2024.csv,
Maharashtra,Constituency_239,MP_Name_239,MH/340/2023-2024/2366 - Construction of Education facility,2023-12-21,Completed,Lok Sabha,Works Completed_2024.csv,
Karnataka,Constituency_353,MP_Name_353,KA/278/2023-2024/2971 - Construction of Education facility,2022-10-23,Completed,Lok Sabha,Works Completed_2024.csv,
Tamil Nadu,Constituency_32,MP_Name_32,TN/335/2023-2024/1174 - Construction of Health facility,2022-06-27,Completed,Lok Sabha,Works Completed_2024.csv,
Tamil Nadu,Constituency_287,MP_Name_287,TN/473/2022-2023/2621 - Construction of Drinking Water facility,2023-03-11,Completed,Lok Sabha,Works Completed_2024.csv,
Maharashtra,Constituency_460,MP_Name_460,MH/178/2022-2023/3555 - Construction of Education facility,2024-08-15,Completed,Lok Sabha,Works Completed_2024.csv,
Madhya Pradesh,Constituency_253,MP_Name_253,MP/339/2023-2024/2436 - Construction of Sanitation facility,2024-09-23,Completed,Lok Sabha,Works Completed_2024.csv,
Maharashtra,Constituency_158,MP_Name_158,MH/957/2021-2022/1881 - Construction of Health facility,2022-11-01,Completed,Lok Sabha,Works Completed_2024.csv,
