project_id,work_title,work_category,state,district,constituency,mp_name,house,recommended_date,sanction_date,sanction_amount,work_status,total_expenditure,transaction_count,primary_vendor,is_completed,completion_date,project_name,delay_days,delay_days_filled,completion_duration_days,utilisation_percentage,expenditure_to_sanction_ratio,log_sanction_amount,log_expenditure,peer_median_sanction,peer_mean_sanction,peer_p90_sanction,peer_median_delay,peer_p90_delay,peer_median_util,peer_project_count,peer_sanction_percentile,peer_dev_ratio,anomaly_pred,anomaly_score,anomaly_flag,risk_level,priority_score,priority_rank,primary_reason,primary_type,anomaly_reasons_json
DL/923/2022-2023/1761,DL/923/2022-2023/1761 - Construction of Roads facility,Education,Delhi,District_C,Constituency_139,MP_Name_139,Lok Sabha,,2024-01-15,411261,Sanctioned,1405030.0,4,State PWD,1,2023-06-17,2023/1761 - Construction of Roads facility,,,,341.64,3.4164,5.6141185831957205,6.147685906433566,1154756.0,1129067.0,1764852.2,,,70.47,63,1.6,0.1323062447832899,-1,-0.1053,True,CRITICAL,69,7,Cumulative expenditure exceeds original sanctioned allocation by 241.6%.,EXCESS_EXPENDITURE,"[{""type"": ""EXCESS_EXPENDITURE"", ""feature"": ""utilisation_percentage"", ""severity"": ""HIGH"", ""message"": ""Cumulative expenditure exceeds original sanctioned allocation by 241.6%."", ""evidence"": ""Disbursed \u20b91,405,030 against Sanction \u20b9411,261""}]"
WB/404/2021-2022/1779,WB/404/2021-2022/1779 - Construction of Health facility,Sanitation,West Bengal,District_E,Constituency_141,MP_Name_141,Lok Sabha,,2023-02-25,539236,Sanctioned,76820.0,1,Shree Constructions,1,2022-12-03,2022/1779 - Construction of Health facility,,,,14.25,0.1425,5.731779683869493,4.885479956196187,1279206.0,1176963.7719298245,1769295.0,,,53.89,57,10.5,0.15275896583795637,-1,-0.0026,True,LOW,40,129,"Statistically unusual combination of expenditure pace, project size, and sanction latency across multiple feature dimensions.",MULTIVARIATE_ISOLATION,"[{""type"": ""MULTIVARIATE_ISOLATION"", ""feature"": ""isolation_forest"", ""severity"": ""LOW"", ""message"": ""Statistically unusual combination of expenditure pace, project size, and sanction latency across multiple feature dimensions."", ""evidence"": ""Isolation Forest Score: -0.0026""}]"
BR/764/2021-2022/1844,BR/764/2021-2022/1844 - Construction of Electricity facility,Health,Bihar,District_C,Constituency_152,MP_Name_152,Lok Sabha,,2021-01-20,465565,Sanctioned,1141952.0,4,State PWD,1,2021-08-14,2022/1844 - Construction of Electricity facility,,,206.0,245.28,2.4528,5.66798125653971,6.057648229776121,1149225.0,1148826.1129032257,1635778.9,,,63.06999999999999,62,4.8,0.14771098629308127,-1,-0.0077,True,LOW,34,151,Cumulative expenditure exceeds original sanctioned allocation by 145.3%.,EXCESS_EXPENDITURE,"[{""type"": ""EXCESS_EXPENDITURE"", ""feature"": ""utilisation_percentage"", ""severity"": ""HIGH"", ""message"": ""Cumulative expenditure exceeds original sanctioned allocation by 145.3%."", ""evidence"": ""Disbursed \u20b91,141,952 against Sanction \u20b9465,565""}]"
BR/793/2023-2024/1859,BR/793/2023-2024/1859 - Construction of Health facility,Electricity,Bihar,District_E,Constituency_155,MP_Name_155,Lok Sabha,,2024-01-31,432865,Sanctioned,166372.0,1,XYZ Builders,1,2021-02-11,2024/1859 - Construction of Health facility,,,,38.44,0.3844,5.636353474950886,5.221082847781397,1117370.0,1102279.8375,1659568.9000000004,,,55.370000000000005,80,2.5,0.14220053091464613,-1,-0.0187,True,MEDIUM,29,171,"Statistically unusual combination of expenditure pace, project size, and sanction latency across multiple feature dimensions.",MULTIVARIATE_ISOLATION,"[{""type"": ""MULTIVARIATE_ISOLATION"", ""feature"": ""isolation_forest"", ""severity"": ""LOW"", ""message"": ""Statistically unusual combination of expenditure pace, project size, and sanction latency across multiple feature dimensions."", ""evidence"": ""Isolation Forest Score: -0.0187""}]"
MP/991/2023-2024/1902,MP/991/2023-2024/1902 - Construction of Roads facility,Sanitation,Madhya Pradesh,District_A,Constituency_162,MP_Name_162,Lok Sabha,,2023-12-25,440881,Sanctioned,254459.0,2,State PWD,1,2023-06-28,2024/1902 - Construction of Roads facility,,,,57.72,0.5772,5.644322368138521,5.405619522843353,1233223.5,1150935.16,1804096.6,,,59.8,50,4.0,0.13274077184594246,-1,-0.0167,True,MEDIUM,29,171,"Statistically unusual combination of expenditure pace, project size, and sanction latency across multiple feature dimensions.",MULTIVARIATE_ISOLATION,"[{""type"": ""MULTIVARIATE_ISOLATION"", ""feature"": ""isolation_forest"", ""severity"": ""LOW"", ""message"": ""Statistically unusual combination of expenditure pace, project size, and sanction latency across multiple feature dimensions."", ""evidence"": ""Isolation Forest Score: -0.0167""}]"
GJ/840/2022-2023/1910,GJ/840/2022-2023/1910 - Construction of Education facility,Sanitation,Gujarat,District_A,Constituency_163,MP_Name_163,Lok Sabha,,2022-05-29,1830037,Sanctioned,140118.0,1,Global Infra Ltd,1,2021-06-23,2023/1910 - Construction of Education facility,,,,7.66,0.0766,6.262460107773583,5.146497029187821,979455.0,1052094.5256410257,1736256.3999999997,,,60.33,78,96.2,0.4576433121844117,-1,-0.0227,True,MEDIUM,63,34,Sanction amount is higher than 96.2% of comparable Sanitation projects in Gujarat.,HIGH_SANCTION_OUTLIER,"[{""type"": ""HIGH_SANCTION_OUTLIER"", ""feature"": ""sanction_amount"", ""severity"": ""HIGH"", ""message"": ""Sanction amount is higher than 96.2% of comparable Sanitation projects in Gujarat."", ""evidence"": ""Project: \u20b91,830,037 | Peer Group Median: \u20b9979,455""}]"
GJ/781/2023-2024/1970,GJ/781/2023-2024/1970 - Construction of Electricity facility,Education,Gujarat,District_C,Constituency_173,MP_Name_173,Lok Sabha,,2022-09-02,432523,Sanctioned,248144.0,1,ABC Constructions,1,2024-04-05,2024/1970 - Construction of Electricity facility,,,581.0,57.37,0.5737,5.636010210710386,5.394705528800776,1148461.0,1111989.7101449275,1672431.4,,,58.21,69,8.7,0.13881122297574597,-1,-0.0041,True,LOW,19,182,"Statistically unusual combination of expenditure pace, project size, and sanction latency across multiple feature dimensions.",MULTIVARIATE_ISOLATION,"[{""type"": ""MULTIVARIATE_ISOLATION"", ""feature"": ""isolation_forest"", ""severity"": ""LOW"", ""message"": ""Statistically unusual combination of expenditure pace, project size, and sanction latency across multiple feature dimensions."", ""evidence"": ""Isolation Forest Score: -0.0041""}]"
MP/116/2021-2022/1996,MP/116/2021-2022/1996 - Construction of Sanitation facility,Roads,Madhya Pradesh,District_D,Constituency_177,MP_Name_177,Lok Sabha,,2024-04-13,470469,Sanctioned,1139133.0,4,Shree Constructions,1,2022-08-04,2022/1996 - Construction of Sanitation facility,,,,242.13,2.4213,5.672531935415036,6.056574814542297,998153.5,1094128.1764705882,1700425.1,,,61.735,68,4.4,0.16771284357274202,-1,-0.0202,True,MEDIUM,45,96,Cumulative expenditure exceeds original sanctioned allocation by 142.1%.,EXCESS_EXPENDITURE,"[{""type"": ""EXCESS_EXPENDITURE"", ""feature"": ""utilisation_percentage"", ""severity"": ""HIGH"", ""message"": ""Cumulative expenditure exceeds original sanctioned allocation by 142.1%."", ""evidence"": ""Disbursed \u20b91,139,133 against Sanction \u20b9470,469""}]"
GJ/127/2022-2023/2058,GJ/127/2022-2023/2058 - Construction of Roads facility,Health,Gujarat,District_E,Constituency_187,MP_Name_187,Lok Sabha,,2021-02-08,550932,Sanctioned,1655602.0,4,XYZ Builders,1,2024-12-14,2023/2058 - Construction of Roads facility,,,1405.0,300.51,3.0051,5.741098786692927,6.218956204683461,1122849.0,1143219.831168831,1740285.6,,,66.6,77,7.8,0.17337727708731923,-1,-0.0645,True,CRITICAL,69,7,Cumulative expenditure exceeds original sanctioned allocation by 200.5%.,EXCESS_EXPENDITURE,"[{""type"": ""EXCESS_EXPENDITURE"", ""feature"": ""utilisation_percentage"", ""severity"": ""HIGH"", ""message"": ""Cumulative expenditure exceeds original sanctioned allocation by 200.5%."", ""evidence"": ""Disbursed \u20b91,655,602 against Sanction \u20b9550,932""}]"
WB/981/2021-2022/2233,WB/981/2021-2022/2233 - Construction of Electricity facility,Electricity,West Bengal,District_E,Constituency_215,MP_Name_215,Lok Sabha,,2022-08-28,465422,Sanctioned,1116091.0,3,State PWD,1,2021-06-28,2022/2233 - Construction of Electricity facility,,,,239.8,2.398,5.667847841190226,6.047699995179993,1209789.5,1150222.711111111,1751913.6000000003,,,59.08,90,5.6,0.14135983483103126,-1,-0.0183,True,MEDIUM,45,96,Cumulative expenditure exceeds original sanctioned allocation by 139.8%.,EXCESS_EXPENDITURE,"[{""type"": ""EXCESS_EXPENDITURE"", ""feature"": ""utilisation_percentage"", ""severity"": ""HIGH"", ""message"": ""Cumulative expenditure exceeds original sanctioned allocation by 139.8%."", ""evidence"": ""Disbursed \u20b91,116,091 against Sanction \u20b9465,422""}]"
MH/597/2021-2022/2468,MH/597/2021-2022/2468 - Construction of Drinking Water facility,Electricity,Maharashtra,District_A,Constituency_259,MP_Name_259,Lok Sabha,,2022-10-04,430537,Sanctioned,967028.0,4,State PWD,1,2021-11-13,2022/2468 - Construction of Drinking Water facility,,,,224.61,2.2461,5.634011489034718,5.985439498231012,996999.0,1081489.2647058824,1706890.8000000003,,,75.50999999999999,68,4.4,0.1558923465049026,-1,-0.017,True,MEDIUM,44,107,Cumulative expenditure exceeds original sanctioned allocation by 124.6%.,EXCESS_EXPENDITURE,"[{""type"": ""EXCESS_EXPENDITURE"", ""feature"": ""utilisation_percentage"", ""severity"": ""HIGH"", ""message"": ""Cumulative expenditure exceeds original sanctioned allocation by 124.6%."", ""evidence"": ""Disbursed \u20b9967,028 against Sanction \u20b9430,537""}]"
MP/843/2022-2023/2566,MP/843/2022-2023/2566 - Construction of Drinking Water facility,Drinking Water,Madhya Pradesh,District_C,Constituency_277,MP_Name_277,Lok Sabha,,2022-06-01,418535,Sanctioned,578761.0,2,Shree Constructions,1,2021-08-17,2023/2566 - Construction of Drinking Water facility,,,,138.28,1.3828,5.621732819387657,5.762500008742649,1119393.0,1130351.2318840579,1716906.4,,,58.86,69,2.9,0.1379534171416126,-1,-0.0017,True,LOW,34,151,Cumulative expenditure exceeds original sanctioned allocation by 38.3%.,EXCESS_EXPENDITURE,"[{""type"": ""EXCESS_EXPENDITURE"", ""feature"": ""utilisation_percentage"", ""severity"": ""HIGH"", ""message"": ""Cumulative expenditure exceeds original sanctioned allocation by 38.3%."", ""evidence"": ""Disbursed \u20b9578,761 against Sanction \u20b9418,535""}]"
TN/324/2022-2023/2977,TN/324/2022-2023/2977 - Construction of Sanitation facility,Health,Tamil Nadu,District_C,Constituency_354,MP_Name_354,Lok Sabha,,2021-08-04,457031,Sanctioned,1373821.0,4,Rural Works Dept,1,2022-08-29,2023/2977 - Construction of Sanitation facility,,,390.0,300.6,3.006,5.659946609122108,6.137930466766067,1143711.0,1083263.1014492754,1596118.4000000001,,,61.03,69,1.4,0.14600504194362537,-1,-0.0575,True,HIGH,56,48,Cumulative expenditure exceeds original sanctioned allocation by 200.6%.,EXCESS_EXPENDITURE,"[{""type"": ""EXCESS_EXPENDITURE"", ""feature"": ""utilisation_percentage"", ""severity"": ""HIGH"", ""message"": ""Cumulative expenditure exceeds original sanctioned allocation by 200.6%."", ""evidence"": ""Disbursed \u20b91,373,821 against Sanction \u20b9457,031""}]"
DL/270/2023-2024/1023,DL/270/2023-2024/1023 - Construction of Education facility,Drinking Water,Delhi,District_E,Constituency_4,MP_Name_4,Lok Sabha,,2022-07-20,403248,Sanctioned,870179.0,3,XYZ Builders,0,,2024/1023 - Construction of Education facility,,,,215.79,2.1579,5.605573299073968,5.939609097355395,1109228.0,1177056.4603174604,1741488.4000000001,,,64.35,63,1.6,0.13466766814059958,-1,-0.0393,True,HIGH,55,63,Cumulative expenditure exceeds original sanctioned allocation by 115.8%.,EXCESS_EXPENDITURE,"[{""type"": ""EXCESS_EXPENDITURE"", ""feature"": ""utilisation_percentage"", ""severity"": ""HIGH"", ""message"": ""Cumulative expenditure exceeds original sanctioned allocation by 115.8%."", ""evidence"": ""Disbursed \u20b9870,179 against Sanction \u20b9403,248""}]"
UP/224/2023-2024/1070,UP/224/2023-2024/1070 - Construction of Education facility,Roads,Uttar Pradesh,District_C,Constituency_14,MP_Name_14,Lok Sabha,,2023-11-18,427261,Sanctioned,1179041.0,4,State PWD,0,,2024/1070 - Construction of Education facility,,,,275.95,2.7595,5.630694269077027,6.071529275869776,1096583.0,1086257.2631578948,1739773.2,,,65.94,57,1.8,0.1428990005259806,-1,-0.0603,True,HIGH,56,48,Cumulative expenditure exceeds original sanctioned allocation by 175.9%.,EXCESS_EXPENDITURE,"[{""type"": ""EXCESS_EXPENDITURE"", ""feature"": ""utilisation_percentage"", ""severity"": ""HIGH"", ""message"": ""Cumulative expenditure exceeds original sanctioned allocation by 175.9%."", ""evidence"": ""Disbursed \u20b91,179,041 against Sanction \u20b9427,261""}]"
RJ/275/2023-2024/1139,RJ/275/2023-2024/1139 - Construction of Sanitation facility,Health,Rajasthan,District_C,Constituency_26,MP_Name_26,Lok Sabha,,2022-10-16,447170,Sanctioned,88147.0,1,State PWD,0,,2024/1139 - Construction of Sanitation facility,,,,19.71,0.1971,5.650473630861467,4.945212462990219,1124132.0,1156632.3174603174,1773098.8000000003,,,55.59,63,3.2,0.14544235249540405,-1,-0.0181,True,MEDIUM,50,86,"Statistically unusual combination of expenditure pace, project size, and sanction latency across multiple feature dimensions.",MULTIVARIATE_ISOLATION,"[{""type"": ""MULTIVARIATE_ISOLATION"", ""feature"": ""isolation_forest"", ""severity"": ""LOW"", ""message"": ""Statistically unusual combination of expenditure pace, project size, and sanction latency across multiple feature dimensions."", ""evidence"": ""Isolation Forest Score: -0.0181""}]"
RJ/779/2023-2024/1185,RJ/779/2023-2024/1185 - Construction of Drinking Water facility,Education,Rajasthan,District_A,Constituency_35,MP_Name_35,Lok Sabha,,2023-10-13,420561,Sanctioned,875693.0,2,State PWD,0,,2024/1185 - Construction of Drinking Water facility,,,,208.22,2.0822,5.623830029320666,5.942352374058689,1125940.0,1101045.0,1654123.0,,,66.05,51,2.0,0.137834957066353,-1,-0.0107,True,LOW,34,151,Cumulative expenditure exceeds original sanctioned allocation by 108.2%.,EXCESS_EXPENDITURE,"[{""type"": ""EXCESS_EXPENDITURE"", ""feature"": ""utilisation_percentage"", ""severity"": ""HIGH"", ""message"": ""Cumulative expenditure exceeds original sanctioned allocation by 108.2%."", ""evidence"": ""Disbursed \u20b9875,693 against Sanction \u20b9420,561""}]"
MP/935/2022-2023/1273,MP/935/2022-2023/1273 - Construction of Sanitation facility,Roads,Madhya Pradesh,District_A,Constituency_50,MP_Name_50,Lok Sabha,,2021-04-30,415666,Sanctioned,993757.0,4,Shree Constructions,0,,2023/1273 - Construction of Sanitation facility,,,,239.08,2.3908,5.618745547030177,5.997280637857604,998153.5,1094128.1764705882,1700425.1,,,61.735,68,1.5,0.15119663339137523,-1,-0.0395,True,HIGH,55,63,Cumulative expenditure exceeds original sanctioned allocation by 139.1%.,EXCESS_EXPENDITURE,"[{""type"": ""EXCESS_EXPENDITURE"", ""feature"": ""utilisation_percentage"", ""severity"": ""HIGH"", ""message"": ""Cumulative expenditure exceeds original sanctioned allocation by 139.1%."", ""evidence"": ""Disbursed \u20b9993,757 against Sanction \u20b9415,666""}]"
UP/289/2023-2024/1284,UP/289/2023-2024/1284 - Construction of Roads facility,Drinking Water,Uttar Pradesh,District_E,Constituency_52,MP_Name_52,Lok Sabha,,2023-08-06,528025,Sanctioned,1463714.0,4,State PWD,0,,2024/1284 - Construction of Roads facility,,,,277.21,2.7721,5.722655307720411,6.165456523459686,1216778.0,1192553.5,1772002.4000000001,,,52.875,50,12.0,0.1565350504553101,-1,-0.0605,True,HIGH,57,42,Cumulative expenditure exceeds original sanctioned allocation by 177.2%.,EXCESS_EXPENDITURE,"[{""type"": ""EXCESS_EXPENDITURE"", ""feature"": ""utilisation_percentage"", ""severity"": ""HIGH"", ""message"": ""Cumulative expenditure exceeds original sanctioned allocation by 177.2%."", ""evidence"": ""Disbursed \u20b91,463,714 against Sanction \u20b9528,025""}]"
GJ/761/2022-2023/1381,GJ/761/2022-2023/1381 - Construction of Sanitation facility,Sanitation,Gujarat,District_D,Constituency_68,MP_Name_68,Lok Sabha,,2023-06-07,1854572,Sanctioned,1276054.0,4,Shree Constructions,0,,2023/1381 - Construction of Sanitation facility,,,,68.81,0.6881,6.2682439327701625,6.105869393571453,979455.0,1052094.5256410257,1736256.3999999997,,,60.33,78,97.4,0.4614194958899935,-1,-0.0157,True,MEDIUM,43,122,Sanction amount is higher than 97.4% of comparable Sanitation projects in Gujarat.,HIGH_SANCTION_OUTLIER,"[{""type"": ""HIGH_SANCTION_OUTLIER"", ""feature"": ""sanction_amount"", ""severity"": ""HIGH"", ""message"": ""Sanction amount is higher than 97.4% of comparable Sanitation projects in Gujarat."", ""evidence"": ""Project: \u20b91,854,572 | Peer Group Median: \u20b9979,455""}]"
MH/434/2023-2024/1461,MH/434/2023-2024/1461 - Construction of Electricity facility,Roads,Maharashtra,District_C,Constituency_83,MP_Name_83,Lok Sabha,,2023-02-05,434606,Sanctioned,983923.0,3,XYZ Builders,0,,2024/1461 - Construction of Electricity facility,,,,226.39,2.2639,5.638096717007264,5.992961554066172,1223821.0,1173056.111111111,1817929.7,,,49.355000000000004,72,2.8,0.13197845852402174,-1,-0.0178,True,MEDIUM,44,107,Cumulative expenditure exceeds original sanctioned allocation by 126.4%.,EXCESS_EXPENDITURE,"[{""type"": ""EXCESS_EXPENDITURE"", ""feature"": ""utilisation_percentage"", ""severity"": ""HIGH"", ""message"": ""Cumulative expenditure exceeds original sanctioned allocation by 126.4%."", ""evidence"": ""Disbursed \u20b9983,923 against Sanction \u20b9434,606""}]"
BR/245/2022-2023/1568,BR/245/2022-2023/1568 - Construction of Electricity facility,Education,Bihar,District_A,Constituency_103,MP_Name_103,Lok Sabha,,2023-06-23,416044,Sanctioned,216916.0,1,BuildWell Pvt Ltd,0,,2023/1568 - Construction of Electricity facility,,,,52.14,0.5214,5.619140307056394,5.336293589436407,1082145.0,1125537.6753246754,1662884.2000000002,,,55.71,77,1.3,0.14128114692239446,-1,-0.0263,True,MEDIUM,29,171,"Statistically unusual combination of expenditure pace, project size, and sanction latency across multiple feature dimensions.",MULTIVARIATE_ISOLATION,"[{""type"": ""MULTIVARIATE_ISOLATION"", ""feature"": ""isolation_forest"", ""severity"": ""LOW"", ""message"": ""Statistically unusual combination of expenditure pace, project size, and sanction latency across multiple feature dimensions."", ""evidence"": ""Isolation Forest Score: -0.0263""}]"
