sr_no,state,ida,constituency,mp_name,work,work_category,sanction_date,sanction_amount,work_status
27,Delhi,District_7,Constituency_28,MP_Name_28,Work_27,Education,10-04-2023,971751,Sanctioned
28,Maharashtra,District_8,Constituency_29,MP_Name_29,Work_28,Sanitation,13-01-2022,1889288,Sanctioned
29,Gujarat,District_9,Constituency_30,MP_Name_30,Work_29,Health,26-02-2023,1278456,Sanctioned
30,Maharashtra,District_0,Constituency_31,MP_Name_31,Work_30,Sanitation,03-09-2022,1529980,Sanctioned
31,Maharashtra,District_1,Constituency_32,MP_Name_32,Work_31,Electricity,07-11-2021,882391,Sanctioned
32,Gujarat,District_2,Constituency_33,MP_Name_33,Work_32,Drinking Water,24-08-2021,766189,Sanctioned
33,Delhi,District_3,Constituency_34,MP_Name_34,Work_33,Health,08-03-2022,1297586,Sanctioned
34,Uttar Pradesh,District_4,Constituency_35,MP_Name_35,Work_34,Sanitation,10-07-2022,440505,Sanctioned
35,Tamil Nadu,District_5,Constituency_36,MP_Name_36,Work_35,Drinking Water,11-11-2022,1136794,Sanctioned
36,Maharashtra,District_6,Constituency_37,MP_Name_37,Work_36,Health,12-02-2021,1737674,Sanctioned
37,Gujarat,District_7,Constituency_38,MP_Name_38,Work_37,Electricity,12-06-2021,1282862,Sanctioned
38,Maharashtra,District_8,Constituency_39,MP_Name_39,Work_38,Health,22-07-2023,596611,Sanctioned
39,Gujarat,District_9,Constituency_40,MP_Name_40,Work_39,Drinking Water,24-11-2022,1745201,Sanctioned
40,Tamil Nadu,District_0,Constituency_41,MP_Name_41,Work_40,Drinking Water,31-01-2021,1713628,Sanctioned
41,Uttar Pradesh,District_1,Constituency_42,MP_Name_42,Work_41,Health,30-11-2021,878849,Sanctioned
42,Delhi,District_2,Constituency_43,MP_Name_43,Work_42,Sanitation,12-08-2021,1103296,Sanctioned
43,Uttar Pradesh,District_3,Constituency_44,MP_Name_44,Work_43,Roads,15-09-2022,1539114,Sanctioned
44,Gujarat,District_4,Constituency_45,MP_Name_45,Work_44,Sanitation,01-11-2021,1515038,Sanctioned
45,Gujarat,District_5,Constituency_46,MP_Name_46,Work_45,Roads,17-06-2022,1614864,Sanctioned
46,Maharashtra,District_6,Constituency_47,MP_Name_47,Work_46,Roads,11-12-2023,719722,Sanctioned
47,Uttar Pradesh,District_7,Constituency_48,MP_Name_48,Work_47,Roads,26-12-2021,1248285,Sanctioned
48,Delhi,District_8,Constituency_49,MP_Name_49,Work_48,Health,19-04-2022,1470997,Sanctioned
49,Maharashtra,District_9,Constituency_50,MP_Name_50,Work_49,Health,20-05-2021,1319749,Sanctioned
50,Uttar Pradesh,District_0,Constituency_51,MP_Name_51,Work_50,Health,16-10-2023,1166322,Sanctioned
51,Uttar Pradesh,District_1,Constituency_52,MP_Name_52,Work_51,Roads,30-01-2022,1471252,Sanctioned
52,Gujarat,District_2,Constituency_53,MP_Name_53,Work_52,Sanitation,01-04-2022,1625445,Sanctioned
53,Tamil Nadu,District_3,Constituency_54,MP_Name_54,Work_53,Education,23-09-2021,770579,Sanctioned
54,Maharashtra,District_4,Constituency_55,MP_Name_55,Work_54,Roads,03-07-2023,1450737,Sanctioned
55,Gujarat,District_5,Constituency_56,MP_Name_56,Work_55,Roads,01-12-2021,1032988,Sanctioned
56,Maharashtra,District_6,Constituency_57,MP_Name_57,Work_56,Education,07-08-2021,579095,Sanctioned
57,Uttar Pradesh,District_7,Constituency_58,MP_Name_58,Work_57,Electricity,18-10-2023,668273,Sanctioned
58,Uttar Pradesh,District_8,Constituency_59,MP_Name_59,Work_58,Electricity,30-12-2022,1556185,Sanctioned
59,Karnataka,District_9,Constituency_60,MP_Name_60,Work_59,Electricity,24-06-2023,1561500,Sanctioned
60,Delhi,District_0,Constituency_61,MP_Name_61,Work_60,Education,16-03-2022,1741028,Sanctioned
61,Karnataka,District_1,Constituency_62,MP_Name_62,Work_61,Sanitation,18-02-2022,1191661,Sanctioned
62,Maharashtra,District_2,Constituency_63,MP_Name_63,Work_62,Roads,29-03-2021,1286412,Sanctioned
63,Karnataka,District_3,Constituency_64,MP_Name_64,Work_63,Health,31-08-2023,1013282,Sanctioned
64,Gujarat,District_4,Constituency_65,MP_Name_65,Work_64,Sanitation,11-06-2023,868160,Sanctioned
65,Gujarat,District_5,Constituency_66,MP_Name_66,Work_65,Electricity,15-04-2023,1492739,Sanctioned
66,Gujarat,District_6,Constituency_67,MP_Name_67,Work_66,Health,06-12-2021,1854967,Sanctioned
67,Gujarat,District_7,Constituency_68,MP_Name_68,Work_67,Sanitation,12-08-2021,1340118,Sanctioned
68,Uttar Pradesh,District_8,Constituency_69,MP_Name_69,Work_68,Health,14-02-2021,1783169,Sanctioned
69,Delhi,District_9,Constituency_70,MP_Name_70,Work_69,Electricity,24-05-2023,1625199,Sanctioned
70,Karnataka,District_0,Constituency_71,MP_Name_71,Work_70,Electricity,30-10-2022,1047402,Sanctioned
71,Uttar Pradesh,District_1,Constituency_72,MP_Name_72,Work_71,Electricity,15-08-2022,1036615,Sanctioned
72,Maharashtra,District_2,Constituency_73,MP_Name_73,Work_72,Sanitation,23-09-2022,604597,Sanctioned
73,Gujarat,District_3,Constituency_74,MP_Name_74,Work_73,Electricity,25-01-2022,1681618,Sanctioned
74,Maharashtra,District_4,Constituency_75,MP_Name_75,Work_74,Education,10-12-2021,1809501,Sanctioned
75,Gujarat,District_5,Constituency_76,MP_Name_76,Work_75,Electricity,04-01-2021,859545,Sanctioned
76,Uttar Pradesh,District_6,Constituency_77,MP_Name_77,Work_76,Roads,15-03-2022,441607,Sanctioned
77,Delhi,District_7,Constituency_78,MP_Name_78,Work_77,Health,18-05-2021,1007949,Sanctioned
78,Tamil Nadu,District_8,Constituency_79,MP_Name_79,Work_78,Education,03-10-2022,902247,Sanctioned
79,Karnataka,District_9,Constituency_80,MP_Name_80,Work_79,Health,18-06-2022,657376,Sanctioned
80,Karnataka,District_0,Constituency_81,MP_Name_81,Work_80,Roads,02-05-2023,886271,Sanctioned
81,Uttar Pradesh,District_1,Constituency_82,MP_Name_82,Work_81,Sanitation,17-06-2021,1296037,Sanctioned
82,Tamil Nadu,District_2,Constituency_83,MP_Name_83,Work_82,Electricity,24-03-2022,1053692,Sanctioned
83,Maharashtra,District_3,Constituency_84,MP_Name_84,Work_83,Drinking Water,05-09-2023,517779,Sanctioned
84,Uttar Pradesh,District_4,Constituency_85,MP_Name_85,Work_84,Electricity,24-11-2023,786507,Sanctioned
85,Tamil Nadu,District_5,Constituency_86,MP_Name_86,Work_85,Drinking Water,20-01-2023,1525304,Sanctioned
86,Gujarat,District_6,Constituency_87,MP_Name_87,Work_86,Sanitation,07-08-2023,1438210,Sanctioned
87,Maharashtra,District_7,Constituency_88,MP_Name_88,Work_87,Roads,16-04-2022,1885338,Sanctioned
88,Uttar Pradesh,District_8,Constituency_89,MP_Name_89,Work_88,Drinking Water,14-08-2021,783064,Sanctioned
89,Delhi,District_9,Constituency_90,MP_Name_90,Work_89,Roads,27-01-2022,1541327,Sanctioned
90,Tamil Nadu,District_0,Constituency_91,MP_Name_91,Work_90,Health,07-06-2021,1044293,Sanctioned
91,Uttar Pradesh,District_1,Constituency_92,MP_Name_92,Work_91,Drinking Water,13-06-2022,800741,Sanctioned
92,Tamil Nadu,District_2,Constituency_93,MP_Name_93,Work_92,Roads,20-12-2023,628437,Sanctioned
93,Tamil Nadu,District_3,Constituency_94,MP_Name_94,Work_93,Education,28-04-2021,1672991,Sanctioned
94,Gujarat,District_4,Constituency_95,MP_Name_95,Work_94,Education,13-04-2022,506931,Sanctioned
95,Uttar Pradesh,District_5,Constituency_96,MP_Name_96,Work_95,Education,02-05-2022,842609,Sanctioned
96,Karnataka,District_6,Constituency_97,MP_Name_97,Work_96,Education,15-02-2022,800791,Sanctioned
97,Gujarat,District_7,Constituency_98,MP_Name_98,Work_97,Education,13-08-2023,823907,Sanctioned
98,Delhi,District_8,Constituency_99,MP_Name_99,Work_98,Electricity,17-10-2021,1291138,Sanctioned
99,Karnataka,District_9,Constituency_100,MP_Name_100,Work_99,Electricity,12-09-2023,733636,Sanctioned
100,Maharashtra,District_0,Constituency_101,MP_Name_101,Work_100,Drinking Water,02-08-2023,1015065,Sanctioned
101,Uttar Pradesh,District_1,Constituency_102,MP_Name_102,Work_101,Drinking Water,06-08-2023,529904,Sanctioned
102,Karnataka,District_2,Constituency_103,MP_Name_103,Work_102,Education,05-01-2021,558920,Sanctioned
103,Maharashtra,District_3,Constituency_104,MP_Name_104,Work_103,Education,20-07-2023,527621,Sanctioned
104,Karnataka,District_4,Constituency_105,MP_Name_105,Work_104,Sanitation,13-03-2021,932137,Sanctioned
105,Delhi,District_5,Constituency_106,MP_Name_106,Work_105,Education,09-08-2022,1603352,Sanctioned
106,Gujarat,District_6,Constituency_107,MP_Name_107,Work_106,Roads,23-07-2021,1030622,Sanctioned
107,Delhi,District_7,Constituency_108,MP_Name_108,Work_107,Health,10-04-2021,1615254,Sanctioned
108,Delhi,District_8,Constituency_109,MP_Name_109,Work_108,Drinking Water,20-11-2022,1483870,Sanctioned
109,Karnataka,District_9,Constituency_110,MP_Name_110,Work_109,Roads,14-12-2021,1862323,Sanctioned
110,Uttar Pradesh,District_0,Constituency_111,MP_Name_111,Work_110,Education,27-01-2023,1115169,Sanctioned
111,Karnataka,District_1,Constituency_112,MP_Name_112,Work_111,Education,04-03-2022,657088,Sanctioned
112,Delhi,District_2,Constituency_113,MP_Name_113,Work_112,Education,20-03-2022,1371000,Sanctioned
113,Delhi,District_3,Constituency_114,MP_Name_114,Work_113,Sanitation,03-06-2022,1613592,Sanctioned
114,Uttar Pradesh,District_4,Constituency_115,MP_Name_115,Work_114,Roads,05-11-2021,1359321,Sanctioned
115,Karnataka,District_5,Constituency_116,MP_Name_116,Work_115,Electricity,13-06-2023,1081553,Sanctioned
116,Maharashtra,District_6,Constituency_117,MP_Name_117,Work_116,Electricity,31-08-2022,1645882,Sanctioned
117,Maharashtra,District_7,Constituency_118,MP_Name_118,Work_117,Drinking Water,01-05-2021,1350954,Sanctioned
118,Gujarat,District_8,Constituency_119,MP_Name_119,Work_118,Sanitation,01-04-2021,1359166,Sanctioned
119,Delhi,District_9,Constituency_120,MP_Name_120,Work_119,Health,05-10-2022,822964,Sanctioned
120,Gujarat,District_0,Constituency_121,MP_Name_121,Work_120,Health,29-10-2022,1522634,Sanctioned
121,Gujarat,District_1,Constituency_122,MP_Name_122,Work_121,Drinking Water,10-07-2021,1807103,Sanctioned
122,Delhi,District_2,Constituency_123,MP_Name_123,Work_122,Drinking Water,27-12-2023,703451,Sanctioned
123,Maharashtra,District_3,Constituency_124,MP_Name_124,Work_123,Education,24-08-2023,1625718,Sanctioned
124,Karnataka,District_4,Constituency_125,MP_Name_125,Work_124,Roads,27-07-2022,1779774,Sanctioned
125,Tamil Nadu,District_5,Constituency_126,MP_Name_126,Work_125,Roads,16-11-2021,1281404,Sanctioned
126,Delhi,District_6,Constituency_127,MP_Name_127,Work_126,Sanitation,13-01-2022,456554,Sanctioned
127,Karnataka,District_7,Constituency_128,MP_Name_128,Work_127,Health,22-05-2022,1389679,Sanctioned
128,Delhi,District_8,Constituency_129,MP_Name_129,Work_128,Drinking Water,07-12-2021,466291,Sanctioned
129,Maharashtra,District_9,Constituency_130,MP_Name_130,Work_129,Drinking Water,17-04-2022,862391,Sanctioned
130,Uttar Pradesh,District_0,Constituency_131,MP_Name_131,Work_130,Drinking Water,04-10-2021,1591361,Sanctioned
131,Maharashtra,District_1,Constituency_132,MP_Name_132,Work_131,Health,21-02-2023,708785,Sanctioned
132,Maharashtra,District_2,Constituency_133,MP_Name_133,Work_132,Electricity,04-11-2023,1654544,Sanctioned
133,Gujarat,District_3,Constituency_134,MP_Name_134,Work_133,Sanitation,03-11-2023,1225019,Sanctioned
134,Gujarat,District_4,Constituency_135,MP_Name_135,Work_134,Health,30-07-2023,1165120,Sanctioned
135,Tamil Nadu,District_5,Constituency_136,MP_Name_136,Work_135,Education,27-11-2022,1455301,Sanctioned
136,Delhi,District_6,Constituency_137,MP_Name_137,Work_136,Electricity,05-07-2021,1853149,Sanctioned
137,Karnataka,District_7,Constituency_138,MP_Name_138,Work_137,Sanitation,07-07-2023,467522,Sanctioned
138,Maharashtra,District_8,Constituency_139,MP_Name_139,Work_138,Health,19-06-2022,863992,Sanctioned
139,Delhi,District_9,Constituency_140,MP_Name_140,Work_139,Sanitation,01-05-2021,1384018,Sanctioned
140,Karnataka,District_0,Constituency_141,MP_Name_141,Work_140,Roads,05-06-2022,1418105,Sanctioned
141,Maharashtra,District_1,Constituency_142,MP_Name_142,Work_141,Roads,05-08-2021,1846015,Sanctioned
142,Karnataka,District_2,Constituency_143,MP_Name_143,Work_142,Sanitation,24-03-2021,1021834,Sanctioned
143,Delhi,District_3,Constituency_144,MP_Name_144,Work_143,Sanitation,06-12-2021,1548279,Sanctioned
144,Uttar Pradesh,District_4,Constituency_145,MP_Name_145,Work_144,Electricity,09-10-2022,1722256,Sanctioned
145,Karnataka,District_5,Constituency_146,MP_Name_146,Work_145,Electricity,02-03-2023,806551,Sanctioned
146,Karnataka,District_6,Constituency_147,MP_Name_147,Work_146,Education,27-07-2021,1755588,Sanctioned
147,Tamil Nadu,District_7,Constituency_148,MP_Name_148,Work_147,Health,03-09-2022,907607,Sanctioned
148,Maharashtra,District_8,Constituency_149,MP_Name_149,Work_148,Electricity,02-05-2021,1035081,Sanctioned
149,Karnataka,District_9,Constituency_150,MP_Name_150,Work_149,Sanitation,10-08-2021,1732884,Sanctioned
150,Karnataka,District_0,Constituency_151,MP_Name_151,Work_150,Roads,11-05-2023,1497180,Sanctioned
151,Delhi,District_1,Constituency_152,MP_Name_152,Work_151,Health,28-08-2023,854870,Sanctioned
152,Maharashtra,District_2,Constituency_153,MP_Name_153,Work_152,Roads,05-11-2022,1060644,Sanctioned
153,Maharashtra,District_3,Constituency_154,MP_Name_154,Work_153,Roads,30-09-2023,960591,Sanctioned
154,Karnataka,District_4,Constituency_155,MP_Name_155,Work_154,Sanitation,18-12-2022,1848816,Sanctioned
155,Tamil Nadu,District_5,Constituency_156,MP_Name_156,Work_155,Education,25-07-2023,1720952,Sanctioned
156,Gujarat,District_6,Constituency_157,MP_Name_157,Work_156,Drinking Water,14-08-2022,1465563,Sanctioned
157,Karnataka,District_7,Constituency_158,MP_Name_158,Work_157,Health,01-10-2023,1894726,Sanctioned
158,Maharashtra,District_8,Constituency_159,MP_Name_159,Work_158,Drinking Water,28-05-2021,596500,Sanctioned
159,Delhi,District_9,Constituency_160,MP_Name_160,Work_159,Education,06-11-2022,1207404,Sanctioned
160,Maharashtra,District_0,Constituency_161,MP_Name_161,Work_160,Electricity,31-05-2023,1291196,Sanctioned
161,Uttar Pradesh,District_1,Constituency_162,MP_Name_162,Work_161,Electricity,07-09-2021,1868893,Sanctioned
162,Gujarat,District_2,Constituency_163,MP_Name_163,Work_162,Drinking Water,10-10-2021,1268130,Sanctioned
163,Maharashtra,District_3,Constituency_164,MP_Name_164,Work_163,Sanitation,18-02-2022,1160088,Sanctioned
164,Delhi,District_4,Constituency_165,MP_Name_165,Work_164,Health,30-06-2021,732201,Sanctioned
165,Uttar Pradesh,District_5,Constituency_166,MP_Name_166,Work_165,Health,26-08-2021,910143,Sanctioned
166,Delhi,District_6,Constituency_167,MP_Name_167,Work_166,Health,31-05-2021,1463676,Sanctioned
167,Delhi,District_7,Constituency_168,MP_Name_168,Work_167,Education,12-12-2023,432430,Sanctioned
168,Karnataka,District_8,Constituency_169,MP_Name_169,Work_168,Electricity,29-10-2023,711481,Sanctioned
169,Uttar Pradesh,District_9,Constituency_170,MP_Name_170,Work_169,Health,08-10-2022,698009,Sanctioned
170,Delhi,District_0,Constituency_171,MP_Name_171,Work_170,Sanitation,13-03-2021,1094140,Sanctioned
171,Maharashtra,District_1,Constituency_172,MP_Name_172,Work_171,Electricity,05-03-2022,1840589,Sanctioned
172,Uttar Pradesh,District_2,Constituency_173,MP_Name_173,Work_172,Health,19-01-2023,1763463,Sanctioned
173,Gujarat,District_3,Constituency_174,MP_Name_174,Work_173,Sanitation,10-05-2023,1421448,Sanctioned
174,Uttar Pradesh,District_4,Constituency_175,MP_Name_175,Work_174,Electricity,04-10-2022,948946,Sanctioned
175,Uttar Pradesh,District_5,Constituency_176,MP_Name_176,Work_175,Electricity,23-10-2023,1794855,Sanctioned
176,Gujarat,District_6,Constituency_177,MP_Name_177,Work_176,Electricity,02-05-2021,901725,Sanctioned
177,Uttar Pradesh,District_7,Constituency_178,MP_Name_178,Work_177,Roads,04-09-2022,599332,Sanctioned
178,Gujarat,District_8,Constituency_179,MP_Name_179,Work_178,Roads,05-01-2023,974058,Sanctioned
179,Maharashtra,District_9,Constituency_180,MP_Name_180,Work_179,Sanitation,15-10-2022,933965,Sanctioned
180,Delhi,District_0,Constituency_181,MP_Name_181,Work_180,Sanitation,15-01-2022,1690191,Sanctioned
181,Tamil Nadu,District_1,Constituency_182,MP_Name_182,Work_181,Education,14-02-2023,1476037,Sanctioned
182,Maharashtra,District_2,Constituency_183,MP_Name_183,Work_182,Drinking Water,09-07-2022,933435,Sanctioned
183,Gujarat,District_3,Constituency_184,MP_Name_184,Work_183,Roads,08-01-2023,1033064,Sanctioned
184,Tamil Nadu,District_4,Constituency_185,MP_Name_185,Work_184,Roads,26-10-2022,1258178,Sanctioned
185,Maharashtra,District_5,Constituency_186,MP_Name_186,Work_185,Electricity,23-11-2021,490414,Sanctioned
186,Maharashtra,District_6,Constituency_187,MP_Name_187,Work_186,Electricity,24-01-2023,1662566,Sanctioned
187,Tamil Nadu,District_7,Constituency_188,MP_Name_188,Work_187,Roads,20-10-2023,674839,Sanctioned
188,Karnataka,District_8,Constituency_189,MP_Name_189,Work_188,Sanitation,07-12-2023,844518,Sanctioned
189,Tamil Nadu,District_9,Constituency_190,MP_Name_190,Work_189,Education,25-06-2022,1651742,Sanctioned
190,Delhi,District_0,Constituency_191,MP_Name_191,Work_190,Electricity,01-08-2022,1655524,Sanctioned
191,Tamil Nadu,District_1,Constituency_192,MP_Name_192,Work_191,Electricity,18-04-2021,492665,Sanctioned
192,Karnataka,District_2,Constituency_193,MP_Name_193,Work_192,Electricity,30-07-2023,1864940,Sanctioned
193,Maharashtra,District_3,Constituency_194,MP_Name_194,Work_193,Education,12-11-2023,580424,Sanctioned
194,Maharashtra,District_4,Constituency_195,MP_Name_195,Work_194,Education,15-11-2022,1061940,Sanctioned
195,Gujarat,District_5,Constituency_196,MP_Name_196,Work_195,Health,08-08-2021,1842293,Sanctioned
196,Karnataka,District_6,Constituency_197,MP_Name_197,Work_196,Drinking Water,27-12-2023,885506,Sanctioned
197,Tamil Nadu,District_7,Constituency_198,MP_Name_198,Work_197,Electricity,14-04-2022,1335171,Sanctioned
198,Gujarat,District_8,Constituency_199,MP_Name_199,Work_198,Health,24-04-2023,1714155,Sanctioned
199,Gujarat,District_9,Constituency_200,MP_Name_200,Work_199,Education,13-06-2023,1401742,Sanctioned
200,Maharashtra,District_0,Constituency_201,MP_Name_201,Work_200,Health,10-01-2021,528943,Sanctioned
201,Delhi,District_1,Constituency_202,MP_Name_202,Work_201,Health,01-05-2021,1215697,Sanctioned
202,Gujarat,District_2,Constituency_203,MP_Name_203,Work_202,Education,19-12-2023,740801,Sanctioned
203,Gujarat,District_3,Constituency_204,MP_Name_204,Work_203,Education,06-12-2022,1333465,Sanctioned
204,Delhi,District_4,Constituency_205,MP_Name_205,Work_204,Health,13-07-2023,1800228,Sanctioned
205,Karnataka,District_5,Constituency_206,MP_Name_206,Work_205,Electricity,19-03-2023,1136148,Sanctioned
206,Karnataka,District_6,Constituency_207,MP_Name_207,Work_206,Drinking Water,02-04-2023,1430712,Sanctioned
207,Karnataka,District_7,Constituency_208,MP_Name_208,Work_207,Drinking Water,15-04-2023,1291914,Sanctioned
208,Gujarat,District_8,Constituency_209,MP_Name_209,Work_208,Health,10-11-2021,810822,Sanctioned
209,Gujarat,District_9,Constituency_210,MP_Name_210,Work_209,Health,04-04-2023,1833742,Sanctioned
210,Tamil Nadu,District_0,Constituency_211,MP_Name_211,Work_210,Roads,22-01-2021,755362,Sanctioned
211,Maharashtra,District_1,Constituency_212,MP_Name_212,Work_211,Education,11-12-2021,466657,Sanctioned
212,Tamil Nadu,District_2,Constituency_213,MP_Name_213,Work_212,Electricity,18-03-2021,643539,Sanctioned
213,Tamil Nadu,District_3,Constituency_214,MP_Name_214,Work_213,Sanitation,21-10-2022,527461,Sanctioned
214,Delhi,District_4,Constituency_215,MP_Name_215,Work_214,Drinking Water,25-01-2021,469080,Sanctioned
215,Delhi,District_5,Constituency_216,MP_Name_216,Work_215,Drinking Water,05-07-2023,958063,Sanctioned
216,Gujarat,District_6,Constituency_217,MP_Name_217,Work_216,Education,04-01-2021,1544072,Sanctioned
217,Delhi,District_7,Constituency_218,MP_Name_218,Work_217,Education,23-10-2022,661631,Sanctioned
218,Tamil Nadu,District_8,Constituency_219,MP_Name_219,Work_218,Sanitation,12-04-2023,1592883,Sanctioned
219,Gujarat,District_9,Constituency_220,MP_Name_220,Work_219,Electricity,21-03-2023,479231,Sanctioned
220,Gujarat,District_0,Constituency_221,MP_Name_221,Work_220,Electricity,16-07-2021,1739505,Sanctioned
221,Karnataka,District_1,Constituency_222,MP_Name_222,Work_221,Education,28-09-2023,1410281,Sanctioned
222,Delhi,District_2,Constituency_223,MP_Name_223,Work_222,Electricity,03-12-2022,1026688,Sanctioned
223,Tamil Nadu,District_3,Constituency_224,MP_Name_224,Work_223,Electricity,03-05-2023,1433557,Sanctioned
224,Uttar Pradesh,District_4,Constituency_225,MP_Name_225,Work_224,Education,21-07-2021,1086067,Sanctioned
225,Tamil Nadu,District_5,Constituency_226,MP_Name_226,Work_225,Electricity,19-12-2022,757024,Sanctioned
226,Uttar Pradesh,District_6,Constituency_227,MP_Name_227,Work_226,Electricity,12-09-2022,984559,Sanctioned
227,Delhi,District_7,Constituency_228,MP_Name_228,Work_227,Roads,29-03-2022,458387,Sanctioned
228,Uttar Pradesh,District_8,Constituency_229,MP_Name_229,Work_228,Sanitation,11-05-2021,1115250,Sanctioned
229,Uttar Pradesh,District_9,Constituency_230,MP_Name_230,Work_229,Roads,27-06-2021,1084904,Sanctioned
230,Maharashtra,District_0,Constituency_231,MP_Name_231,Work_230,Drinking Water,06-09-2021,574416,Sanctioned
231,Uttar Pradesh,District_1,Constituency_232,MP_Name_232,Work_231,Electricity,25-04-2022,646597,Sanctioned
232,Tamil Nadu,District_2,Constituency_233,MP_Name_233,Work_232,Sanitation,27-05-2023,706551,Sanctioned
233,Tamil Nadu,District_3,Constituency_234,MP_Name_234,Work_233,Roads,06-03-2023,1414167,Sanctioned
234,Uttar Pradesh,District_4,Constituency_235,MP_Name_235,Work_234,Education,22-04-2022,1420746,Sanctioned
235,Karnataka,District_5,Constituency_236,MP_Name_236,Work_235,Electricity,08-05-2023,1500690,Sanctioned
236,Maharashtra,District_6,Constituency_237,MP_Name_237,Work_236,Education,04-10-2021,1720331,Sanctioned
237,Karnataka,District_7,Constituency_238,MP_Name_238,Work_237,Sanitation,29-12-2023,905198,Sanctioned
238,Karnataka,District_8,Constituency_239,MP_Name_239,Work_238,Sanitation,06-05-2021,1233284,Sanctioned
239,Karnataka,District_9,Constituency_240,MP_Name_240,Work_239,Electricity,13-12-2021,1111141,Sanctioned
240,Gujarat,District_0,Constituency_241,MP_Name_241,Work_240,Health,03-07-2022,495668,Sanctioned
241,Gujarat,District_1,Constituency_242,MP_Name_242,Work_241,Sanitation,29-11-2022,985813,Sanctioned
242,Delhi,District_2,Constituency_243,MP_Name_243,Work_242,Education,01-06-2022,1766118,Sanctioned
243,Tamil Nadu,District_3,Constituency_244,MP_Name_244,Work_243,Education,08-09-2021,1751764,Sanctioned
244,Karnataka,District_4,Constituency_245,MP_Name_245,Work_244,Electricity,04-04-2021,836888,Sanctioned
245,Tamil Nadu,District_5,Constituency_1,MP_Name_1,Work_245,Sanitation,24-04-2022,1437715,Sanctioned
246,Gujarat,District_6,Constituency_2,MP_Name_2,Work_246,Education,27-05-2023,1026307,Sanctioned
247,Karnataka,District_7,Constituency_3,MP_Name_3,Work_247,Health,20-03-2022,1252103,Sanctioned
248,Delhi,District_8,Constituency_4,MP_Name_4,Work_248,Sanitation,13-01-2021,1243533,Sanctioned
249,Karnataka,District_9,Constituency_5,MP_Name_5,Work_249,Electricity,06-09-2021,1287075,Sanctioned
250,Gujarat,District_0,Constituency_6,MP_Name_6,Work_250,Electricity,17-12-2021,1126904,Sanctioned
251,Gujarat,District_1,Constituency_7,MP_Name_7,Work_251,Sanitation,04-04-2021,1738313,Sanctioned
