sr_no,state,constituency,mp_name,work,work_category,recommended_date,recommended_amount
44,West Bengal,Constituency_8,MP_Name_8,WB/645/2021-2022/50044 - Construction of Education facility,Roads,23-11-2024,1128284
45,West Bengal,Constituency_8,MP_Name_8,WB/740/2021-2022/50045 - Construction of Electricity facility,Health,03-05-2021,980547
46,West Bengal,Constituency_8,MP_Name_8,WB/526/2021-2022/50046 - Construction of Roads facility,Electricity,03-06-2024,589354
47,Rajasthan,Constituency_9,MP_Name_9,RJ/649/2022-2023/50047 - Construction of Electricity facility,Health,04-08-2022,1469698
48,Rajasthan,Constituency_9,MP_Name_9,RJ/289/2021-2022/50048 - Construction of Drinking Water facility,Sanitation,03-10-2023,1076403
49,Rajasthan,Constituency_9,MP_Name_9,RJ/349/2022-2023/50049 - Construction of Roads facility,Sanitation,04-08-2021,502390
50,Rajasthan,Constituency_9,MP_Name_9,RJ/361/2023-2024/50050 - Construction of Drinking Water facility,Education,19-01-2024,1916342
51,Maharashtra,Constituency_10,MP_Name_10,MH/129/2021-2022/50051 - Construction of Health facility,Electricity,29-08-2024,1868386
52,Maharashtra,Constituency_10,MP_Name_10,MH/291/2023-2024/50052 - Construction of Drinking Water facility,Education,03-02-2022,776217
53,Maharashtra,Constituency_10,MP_Name_10,MH/193/2023-2024/50053 - Construction of Health facility,Drinking Water,18-05-2022,907217
54,Maharashtra,Constituency_10,MP_Name_10,MH/549/2023-2024/50054 - Construction of Health facility,Roads,30-09-2022,999435
55,Uttar Pradesh,Constituency_11,MP_Name_11,UP/839/2023-2024/50055 - Construction of Education facility,Sanitation,11-01-2024,801269
56,Uttar Pradesh,Constituency_11,MP_Name_11,UP/443/2022-2023/50056 - Construction of Sanitation facility,Sanitation,30-05-2024,658024
57,Uttar Pradesh,Constituency_11,MP_Name_11,UP/235/2021-2022/50057 - Construction of Health facility,Health,01-09-2023,851733
58,Uttar Pradesh,Constituency_11,MP_Name_11,UP/920/2021-2022/50058 - Construction of Sanitation facility,Roads,20-12-2022,1403875
59,Uttar Pradesh,Constituency_11,MP_Name_11,UP/364/2021-2022/50059 - Construction of Education facility,Health,28-02-2022,1469170
60,Uttar Pradesh,Constituency_11,MP_Name_11,UP/288/2023-2024/50060 - Construction of Education facility,Drinking Water,16-05-2021,584190
61,Uttar Pradesh,Constituency_11,MP_Name_11,UP/287/2022-2023/50061 - Construction of Health facility,Education,10-06-2022,817194
62,Uttar Pradesh,Constituency_11,MP_Name_11,UP/174/2021-2022/50062 - Construction of Education facility,Health,14-12-2023,1321576
63,Delhi,Constituency_12,MP_Name_12,DL/476/2021-2022/50063 - Construction of Drinking Water facility,Drinking Water,04-04-2024,1124986
64,Delhi,Constituency_12,MP_Name_12,DL/489/2021-2022/50064 - Construction of Drinking Water facility,Roads,24-01-2021,1703903
65,Delhi,Constituency_12,MP_Name_12,DL/857/2021-2022/50065 - Construction of Roads facility,Electricity,19-04-2023,1691875
66,Delhi,Constituency_12,MP_Name_12,DL/292/2021-2022/50066 - Construction of Education facility,Roads,15-02-2022,1497907
67,Rajasthan,Constituency_13,MP_Name_13,RJ/473/2021-2022/50067 - Construction of Electricity facility,Education,14-11-2024,1137264
68,Rajasthan,Constituency_13,MP_Name_13,RJ/211/2021-2022/50068 - Construction of Drinking Water facility,Drinking Water,08-01-2022,1135013
69,Rajasthan,Constituency_13,MP_Name_13,RJ/624/2023-2024/50069 - Construction of Education facility,Drinking Water,18-10-2022,1935143
70,Madhya Pradesh,Constituency_14,MP_Name_14,MP/278/2021-2022/50070 - Construction of Health facility,Health,17-10-2024,1639685
71,Madhya Pradesh,Constituency_14,MP_Name_14,MP/106/2023-2024/50071 - Construction of Health facility,Health,17-07-2021,1361950
72,Madhya Pradesh,Constituency_14,MP_Name_14,MP/701/2023-2024/50072 - Construction of Drinking Water facility,Electricity,02-04-2024,1238580
73,Madhya Pradesh,Constituency_14,MP_Name_14,MP/689/2021-2022/50073 - Construction of Roads facility,Education,03-04-2021,1771721
74,Madhya Pradesh,Constituency_14,MP_Name_14,MP/943/2023-2024/50074 - Construction of Roads facility,Education,14-08-2021,1717476
75,Madhya Pradesh,Constituency_14,MP_Name_14,MP/974/2023-2024/50075 - Construction of Drinking Water facility,Sanitation,19-04-2023,594997
76,Madhya Pradesh,Constituency_14,MP_Name_14,MP/270/2022-2023/50076 - Construction of Drinking Water facility,Education,11-04-2023,1557665
77,Madhya Pradesh,Constituency_14,MP_Name_14,MP/953/2021-2022/50077 - Construction of Health facility,Roads,22-05-2024,703306
78,Delhi,Constituency_15,MP_Name_15,DL/289/2023-2024/50078 - Construction of Drinking Water facility,Education,05-01-2022,1672994
79,Delhi,Constituency_15,MP_Name_15,DL/672/2021-2022/50079 - Construction of Health facility,Sanitation,19-03-2021,1870506
80,Delhi,Constituency_15,MP_Name_15,DL/221/2023-2024/50080 - Construction of Roads facility,Sanitation,14-01-2023,883084
81,Delhi,Constituency_15,MP_Name_15,DL/720/2023-2024/50081 - Construction of Health facility,Electricity,01-03-2023,1677402
82,Delhi,Constituency_15,MP_Name_15,DL/926/2022-2023/50082 - Construction of Electricity facility,Drinking Water,12-06-2022,1983265
83,Delhi,Constituency_15,MP_Name_15,DL/120/2022-2023/50083 - Construction of Sanitation facility,Health,18-06-2022,1224030
84,Delhi,Constituency_15,MP_Name_15,DL/660/2022-2023/50084 - Construction of Sanitation facility,Education,13-03-2022,1687709
85,Karnataka,Constituency_16,MP_Name_16,KA/705/2021-2022/50085 - Construction of Roads facility,Sanitation,02-09-2024,944899
86,Karnataka,Constituency_16,MP_Name_16,KA/809/2022-2023/50086 - Construction of Education facility,Roads,24-09-2024,708022
87,Karnataka,Constituency_16,MP_Name_16,KA/722/2022-2023/50087 - Construction of Education facility,Health,08-05-2021,1485177
88,West Bengal,Constituency_17,MP_Name_17,WB/336/2023-2024/50088 - Construction of Education facility,Health,16-07-2021,1627031
89,West Bengal,Constituency_17,MP_Name_17,WB/274/2022-2023/50089 - Construction of Drinking Water facility,Drinking Water,12-11-2023,1015065
90,West Bengal,Constituency_17,MP_Name_17,WB/118/2021-2022/50090 - Construction of Sanitation facility,Sanitation,12-02-2024,1230717
91,West Bengal,Constituency_18,MP_Name_18,WB/402/2022-2023/50091 - Construction of Sanitation facility,Electricity,29-05-2021,1689683
92,West Bengal,Constituency_18,MP_Name_18,WB/510/2021-2022/50092 - Construction of Sanitation facility,Roads,06-01-2021,1186785
93,West Bengal,Constituency_18,MP_Name_18,WB/262/2021-2022/50093 - Construction of Roads facility,Health,20-10-2023,1100623
94,West Bengal,Constituency_18,MP_Name_18,WB/878/2021-2022/50094 - Construction of Roads facility,Electricity,24-04-2022,1059821
95,West Bengal,Constituency_18,MP_Name_18,WB/993/2023-2024/50095 - Construction of Roads facility,Health,06-10-2021,574221
96,Tamil Nadu,Constituency_19,MP_Name_19,TN/487/2023-2024/50096 - Construction of Education facility,Drinking Water,19-05-2021,1507994
97,Tamil Nadu,Constituency_19,MP_Name_19,TN/468/2022-2023/50097 - Construction of Sanitation facility,Education,25-09-2021,1655527
98,Tamil Nadu,Constituency_19,MP_Name_19,TN/986/2022-2023/50098 - Construction of Sanitation facility,Education,07-11-2021,1628209
99,Tamil Nadu,Constituency_19,MP_Name_19,TN/206/2023-2024/50099 - Construction of Health facility,Drinking Water,06-02-2021,643083
100,Tamil Nadu,Constituency_19,MP_Name_19,TN/152/2021-2022/50100 - Construction of Education facility,Health,07-08-2023,833924
101,Rajasthan,Constituency_20,MP_Name_20,RJ/993/2021-2022/50101 - Construction of Electricity facility,Sanitation,05-11-2023,1110717
102,Rajasthan,Constituency_20,MP_Name_20,RJ/305/2023-2024/50102 - Construction of Drinking Water facility,Health,13-05-2022,937641
103,Rajasthan,Constituency_20,MP_Name_20,RJ/155/2021-2022/50103 - Construction of Electricity facility,Health,02-02-2021,1628591
104,Rajasthan,Constituency_20,MP_Name_20,RJ/632/2022-2023/50104 - Construction of Health facility,Sanitation,04-12-2021,874885
105,Rajasthan,Constituency_20,MP_Name_20,RJ/563/2022-2023/50105 - Construction of Drinking Water facility,Roads,25-09-2024,1616532
106,Rajasthan,Constituency_20,MP_Name_20,RJ/527/2022-2023/50106 - Construction of Drinking Water facility,Sanitation,19-04-2023,979010
107,Rajasthan,Constituency_20,MP_Name_20,RJ/305/2021-2022/50107 - Construction of Drinking Water facility,Roads,28-09-2021,863637
108,Rajasthan,Constituency_20,MP_Name_20,RJ/549/2022-2023/50108 - Construction of Health facility,Health,09-11-2022,584326
109,Uttar Pradesh,Constituency_21,MP_Name_21,UP/423/2023-2024/50109 - Construction of Health facility,Sanitation,04-04-2022,695966
110,Uttar Pradesh,Constituency_21,MP_Name_21,UP/322/2021-2022/50110 - Construction of Sanitation facility,Electricity,28-11-2024,1134700
111,Uttar Pradesh,Constituency_21,MP_Name_21,UP/208/2021-2022/50111 - Construction of Roads facility,Electricity,03-04-2021,1362037
112,Uttar Pradesh,Constituency_21,MP_Name_21,UP/571/2022-2023/50112 - Construction of Electricity facility,Electricity,04-11-2022,878993
113,Uttar Pradesh,Constituency_21,MP_Name_21,UP/341/2021-2022/50113 - Construction of Sanitation facility,Education,16-03-2023,1174935
114,Uttar Pradesh,Constituency_21,MP_Name_21,UP/553/2022-2023/50114 - Construction of Sanitation facility,Sanitation,09-05-2024,781208
115,Gujarat,Constituency_22,MP_Name_22,GJ/558/2021-2022/50115 - Construction of Sanitation facility,Health,13-10-2024,995616
116,Gujarat,Constituency_22,MP_Name_22,GJ/899/2022-2023/50116 - Construction of Sanitation facility,Drinking Water,23-12-2024,546225
117,Gujarat,Constituency_22,MP_Name_22,GJ/400/2023-2024/50117 - Construction of Electricity facility,Sanitation,17-02-2023,1248194
118,Gujarat,Constituency_22,MP_Name_22,GJ/459/2022-2023/50118 - Construction of Electricity facility,Education,14-07-2024,769499
119,Gujarat,Constituency_22,MP_Name_22,GJ/180/2022-2023/50119 - Construction of Electricity facility,Electricity,01-07-2022,1927433
120,Gujarat,Constituency_22,MP_Name_22,GJ/117/2022-2023/50120 - Construction of Electricity facility,Education,02-07-2023,1544541
121,Gujarat,Constituency_22,MP_Name_22,GJ/452/2023-2024/50121 - Construction of Electricity facility,Education,03-07-2024,1309797
122,Gujarat,Constituency_22,MP_Name_22,GJ/571/2023-2024/50122 - Construction of Roads facility,Electricity,01-01-2024,848977
123,Delhi,Constituency_23,MP_Name_23,DL/589/2022-2023/50123 - Construction of Sanitation facility,Roads,30-09-2022,1093670
124,Delhi,Constituency_23,MP_Name_23,DL/570/2021-2022/50124 - Construction of Drinking Water facility,Education,24-12-2023,1121587
125,Delhi,Constituency_23,MP_Name_23,DL/203/2021-2022/50125 - Construction of Education facility,Education,01-09-2021,534867
126,Bihar,Constituency_24,MP_Name_24,BR/148/2022-2023/50126 - Construction of Sanitation facility,Health,16-12-2022,1434380
127,Bihar,Constituency_24,MP_Name_24,BR/516/2022-2023/50127 - Construction of Roads facility,Electricity,24-04-2021,718851
128,Bihar,Constituency_24,MP_Name_24,BR/582/2021-2022/50128 - Construction of Sanitation facility,Electricity,13-07-2021,775667
129,Bihar,Constituency_24,MP_Name_24,BR/588/2022-2023/50129 - Construction of Roads facility,Drinking Water,28-03-2021,1527210
130,Bihar,Constituency_24,MP_Name_24,BR/188/2023-2024/50130 - Construction of Electricity facility,Electricity,17-04-2024,1319386
131,Bihar,Constituency_24,MP_Name_24,BR/739/2021-2022/50131 - Construction of Sanitation facility,Drinking Water,05-01-2022,1683986
132,West Bengal,Constituency_25,MP_Name_25,WB/519/2022-2023/50132 - Construction of Roads facility,Drinking Water,17-11-2022,1241494
133,West Bengal,Constituency_25,MP_Name_25,WB/858/2022-2023/50133 - Construction of Drinking Water facility,Electricity,02-08-2022,1426399
134,West Bengal,Constituency_25,MP_Name_25,WB/491/2022-2023/50134 - Construction of Drinking Water facility,Electricity,22-06-2022,1725263
135,West Bengal,Constituency_25,MP_Name_25,WB/681/2022-2023/50135 - Construction of Education facility,Electricity,28-04-2024,618855
136,Karnataka,Constituency_26,MP_Name_26,KA/374/2022-2023/50136 - Construction of Electricity facility,Roads,05-06-2021,1218864
137,Karnataka,Constituency_26,MP_Name_26,KA/324/2022-2023/50137 - Construction of Electricity facility,Education,23-01-2022,1581023
138,Karnataka,Constituency_26,MP_Name_26,KA/497/2021-2022/50138 - Construction of Drinking Water facility,Education,18-02-2021,862667
139,Karnataka,Constituency_26,MP_Name_26,KA/958/2021-2022/50139 - Construction of Sanitation facility,Drinking Water,19-10-2024,1125764
140,Karnataka,Constituency_26,MP_Name_26,KA/479/2021-2022/50140 - Construction of Drinking Water facility,Drinking Water,06-01-2024,1757076
141,Karnataka,Constituency_26,MP_Name_26,KA/827/2021-2022/50141 - Construction of Education facility,Roads,15-10-2022,1941867
142,Rajasthan,Constituency_27,MP_Name_27,RJ/184/2022-2023/50142 - Construction of Health facility,Education,15-11-2023,1855578
143,Rajasthan,Constituency_27,MP_Name_27,RJ/295/2023-2024/50143 - Construction of Roads facility,Health,30-06-2022,1371109
144,Rajasthan,Constituency_27,MP_Name_27,RJ/467/2023-2024/50144 - Construction of Drinking Water facility,Education,22-02-2022,1217554
145,Karnataka,Constituency_28,MP_Name_28,KA/682/2021-2022/50145 - Construction of Sanitation facility,Education,03-11-2023,1539293
146,Karnataka,Constituency_28,MP_Name_28,KA/144/2022-2023/50146 - Construction of Electricity facility,Drinking Water,20-08-2023,1492481
147,Karnataka,Constituency_28,MP_Name_28,KA/451/2023-2024/50147 - Construction of Education facility,Drinking Water,16-02-2022,1699362
148,Karnataka,Constituency_28,MP_Name_28,KA/274/2021-2022/50148 - Construction of Sanitation facility,Roads,18-08-2021,673146
149,Karnataka,Constituency_28,MP_Name_28,KA/559/2021-2022/50149 - Construction of Roads facility,Education,26-06-2024,1881437
150,Karnataka,Constituency_28,MP_Name_28,KA/456/2023-2024/50150 - Construction of Health facility,Electricity,06-02-2024,1059785
151,Karnataka,Constituency_28,MP_Name_28,KA/986/2022-2023/50151 - Construction of Health facility,Roads,03-09-2022,947925
152,Karnataka,Constituency_28,MP_Name_28,KA/862/2021-2022/50152 - Construction of Education facility,Electricity,24-08-2022,719911
153,Bihar,Constituency_29,MP_Name_29,BR/982/2022-2023/50153 - Construction of Education facility,Roads,02-10-2022,1512669
154,Bihar,Constituency_29,MP_Name_29,BR/901/2021-2022/50154 - Construction of Roads facility,Health,08-03-2022,1396990
155,Bihar,Constituency_29,MP_Name_29,BR/729/2022-2023/50155 - Construction of Roads facility,Health,22-09-2022,1118313
156,Bihar,Constituency_29,MP_Name_29,BR/110/2021-2022/50156 - Construction of Electricity facility,Electricity,17-04-2022,1414277
157,Maharashtra,Constituency_30,MP_Name_30,MH/599/2022-2023/50157 - Construction of Electricity facility,Sanitation,13-08-2021,1745538
158,Maharashtra,Constituency_30,MP_Name_30,MH/306/2022-2023/50158 - Construction of Health facility,Electricity,08-08-2023,1335725
159,Maharashtra,Constituency_30,MP_Name_30,MH/828/2023-2024/50159 - Construction of Sanitation facility,Sanitation,21-03-2022,1655662
160,Maharashtra,Constituency_30,MP_Name_30,MH/419/2021-2022/50160 - Construction of Drinking Water facility,Education,29-05-2022,1728926
161,Maharashtra,Constituency_30,MP_Name_30,MH/814/2022-2023/50161 - Construction of Drinking Water facility,Roads,11-10-2022,1799178
162,Maharashtra,Constituency_30,MP_Name_30,MH/163/2021-2022/50162 - Construction of Electricity facility,Drinking Water,30-05-2021,987810
163,Bihar,Constituency_31,MP_Name_31,BR/819/2023-2024/50163 - Construction of Drinking Water facility,Health,19-05-2021,1864087
164,Bihar,Constituency_31,MP_Name_31,BR/638/2022-2023/50164 - Construction of Drinking Water facility,Education,05-04-2021,1629435
165,Bihar,Constituency_31,MP_Name_31,BR/155/2021-2022/50165 - Construction of Electricity facility,Education,12-03-2024,794187
166,Bihar,Constituency_31,MP_Name_31,BR/616/2022-2023/50166 - Construction of Drinking Water facility,Roads,21-05-2024,1403093
167,Bihar,Constituency_31,MP_Name_31,BR/845/2022-2023/50167 - Construction of Health facility,Drinking Water,10-06-2021,1318543
168,Bihar,Constituency_31,MP_Name_31,BR/148/2021-2022/50168 - Construction of Sanitation facility,Drinking Water,22-05-2022,1427910
169,Bihar,Constituency_31,MP_Name_31,BR/397/2021-2022/50169 - Construction of Sanitation facility,Education,13-12-2023,1894591
170,Bihar,Constituency_31,MP_Name_31,BR/308/2022-2023/50170 - Construction of Health facility,Education,12-03-2023,1316212
171,Uttar Pradesh,Constituency_32,MP_Name_32,UP/764/2022-2023/50171 - Construction of Education facility,Health,15-01-2022,948880
172,Uttar Pradesh,Constituency_32,MP_Name_32,UP/146/2023-2024/50172 - Construction of Health facility,Education,09-09-2021,1583498
173,Uttar Pradesh,Constituency_32,MP_Name_32,UP/760/2022-2023/50173 - Construction of Electricity facility,Roads,15-03-2021,1820461
174,Uttar Pradesh,Constituency_32,MP_Name_32,UP/423/2022-2023/50174 - Construction of Drinking Water facility,Electricity,03-01-2024,644258
175,Uttar Pradesh,Constituency_32,MP_Name_32,UP/701/2021-2022/50175 - Construction of Electricity facility,Drinking Water,26-08-2024,1530484
176,Uttar Pradesh,Constituency_32,MP_Name_32,UP/432/2023-2024/50176 - Construction of Electricity facility,Electricity,11-12-2022,810393
177,Uttar Pradesh,Constituency_32,MP_Name_32,UP/226/2021-2022/50177 - Construction of Electricity facility,Education,27-01-2023,1942658
178,Uttar Pradesh,Constituency_33,MP_Name_33,UP/621/2022-2023/50178 - Construction of Health facility,Roads,22-01-2021,1920651
179,Uttar Pradesh,Constituency_33,MP_Name_33,UP/670/2021-2022/50179 - Construction of Drinking Water facility,Drinking Water,17-10-2021,1924093
180,Uttar Pradesh,Constituency_33,MP_Name_33,UP/749/2021-2022/50180 - Construction of Sanitation facility,Drinking Water,25-10-2023,946608
181,Uttar Pradesh,Constituency_33,MP_Name_33,UP/945/2022-2023/50181 - Construction of Education facility,Electricity,06-08-2023,508488
182,Uttar Pradesh,Constituency_33,MP_Name_33,UP/725/2022-2023/50182 - Construction of Sanitation facility,Health,26-05-2022,1548334
183,Uttar Pradesh,Constituency_33,MP_Name_33,UP/694/2022-2023/50183 - Construction of Roads facility,Health,20-01-2022,1449191
184,Uttar Pradesh,Constituency_33,MP_Name_33,UP/566/2022-2023/50184 - Construction of Electricity facility,Drinking Water,01-07-2022,1866152
185,Uttar Pradesh,Constituency_33,MP_Name_33,UP/316/2022-2023/50185 - Construction of Roads facility,Sanitation,12-04-2021,511960
186,Madhya Pradesh,Constituency_34,MP_Name_34,MP/434/2022-2023/50186 - Construction of Health facility,Roads,26-02-2024,569237
187,Madhya Pradesh,Constituency_34,MP_Name_34,MP/972/2021-2022/50187 - Construction of Education facility,Electricity,28-10-2021,1628180
188,Madhya Pradesh,Constituency_34,MP_Name_34,MP/742/2022-2023/50188 - Construction of Health facility,Roads,10-05-2022,542037
189,Madhya Pradesh,Constituency_34,MP_Name_34,MP/560/2021-2022/50189 - Construction of Sanitation facility,Drinking Water,12-01-2024,1991572
190,Madhya Pradesh,Constituency_34,MP_Name_34,MP/630/2023-2024/50190 - Construction of Roads facility,Health,30-11-2021,1589445
191,Madhya Pradesh,Constituency_34,MP_Name_34,MP/390/2023-2024/50191 - Construction of Electricity facility,Education,01-09-2024,1729281
192,Gujarat,Constituency_35,MP_Name_35,GJ/437/2022-2023/50192 - Construction of Drinking Water facility,Roads,16-11-2022,774442
193,Gujarat,Constituency_35,MP_Name_35,GJ/607/2022-2023/50193 - Construction of Drinking Water facility,Education,18-09-2023,1671436
194,Gujarat,Constituency_35,MP_Name_35,GJ/511/2021-2022/50194 - Construction of Electricity facility,Education,16-07-2024,1693998
195,West Bengal,Constituency_36,MP_Name_36,WB/979/2023-2024/50195 - Construction of Roads facility,Education,24-08-2023,822869
196,West Bengal,Constituency_36,MP_Name_36,WB/947/2021-2022/50196 - Construction of Electricity facility,Drinking Water,20-10-2022,780489
197,West Bengal,Constituency_36,MP_Name_36,WB/842/2023-2024/50197 - Construction of Drinking Water facility,Roads,20-01-2022,868922
198,Madhya Pradesh,Constituency_37,MP_Name_37,MP/276/2022-2023/50198 - Construction of Electricity facility,Electricity,20-10-2022,932300
199,Madhya Pradesh,Constituency_37,MP_Name_37,MP/515/2021-2022/50199 - Construction of Health facility,Health,16-04-2023,1722279
200,Madhya Pradesh,Constituency_37,MP_Name_37,MP/297/2023-2024/50200 - Construction of Sanitation facility,Education,05-05-2022,838336
201,Karnataka,Constituency_38,MP_Name_38,KA/242/2021-2022/50201 - Construction of Education facility,Roads,23-09-2022,1080333
202,Karnataka,Constituency_38,MP_Name_38,KA/838/2021-2022/50202 - Construction of Electricity facility,Roads,04-04-2021,1970140
203,Karnataka,Constituency_38,MP_Name_38,KA/949/2022-2023/50203 - Construction of Sanitation facility,Health,21-04-2022,1449902
204,West Bengal,Constituency_39,MP_Name_39,WB/859/2021-2022/50204 - Construction of Health facility,Health,02-05-2022,1994790
205,West Bengal,Constituency_39,MP_Name_39,WB/388/2022-2023/50205 - Construction of Drinking Water facility,Electricity,22-05-2023,1295158
206,West Bengal,Constituency_39,MP_Name_39,WB/994/2023-2024/50206 - Construction of Electricity facility,Sanitation,07-01-2021,737399
207,West Bengal,Constituency_39,MP_Name_39,WB/456/2021-2022/50207 - Construction of Drinking Water facility,Health,21-05-2024,1868807
208,Gujarat,Constituency_40,MP_Name_40,GJ/449/2021-2022/50208 - Construction of Electricity facility,Education,06-08-2024,970956
209,Gujarat,Constituency_40,MP_Name_40,GJ/746/2021-2022/50209 - Construction of Electricity facility,Roads,01-02-2024,1877437
210,Gujarat,Constituency_40,MP_Name_40,GJ/948/2022-2023/50210 - Construction of Roads facility,Electricity,19-09-2021,1488390
211,Gujarat,Constituency_40,MP_Name_40,GJ/974/2022-2023/50211 - Construction of Drinking Water facility,Drinking Water,29-01-2023,1062557
212,Gujarat,Constituency_40,MP_Name_40,GJ/723/2023-2024/50212 - Construction of Education facility,Electricity,21-12-2021,1343708
213,Gujarat,Constituency_40,MP_Name_40,GJ/874/2023-2024/50213 - Construction of Sanitation facility,Electricity,27-06-2024,1897845
