Sr_No,state,constituency,Hon'ble Members of Parliament,allocated_amount
106,Uttar Pradesh,Constituency_106,MP_Name_106,20733554
107,Gujarat,Constituency_107,MP_Name_107,33700871
108,Karnataka,Constituency_108,MP_Name_108,38086743
109,Gujarat,Constituency_109,MP_Name_109,32531252
110,Maharashtra,Constituency_110,MP_Name_110,21948790
111,Maharashtra,Constituency_111,MP_Name_111,45607018
112,Uttar Pradesh,Constituency_112,MP_Name_112,23995451
113,Delhi,Constituency_113,MP_Name_113,25815839
114,Tamil Nadu,Constituency_114,MP_Name_114,31402796
115,Uttar Pradesh,Constituency_115,MP_Name_115,43668745
116,Delhi,Constituency_116,MP_Name_116,31914008
117,Tamil Nadu,Constituency_117,MP_Name_117,25860097
118,Maharashtra,Constituency_118,MP_Name_118,25040103
119,Gujarat,Constituency_119,MP_Name_119,26845677
120,Karnataka,Constituency_120,MP_Name_120,35377934
121,Gujarat,Constituency_121,MP_Name_121,34698648
122,Uttar Pradesh,Constituency_122,MP_Name_122,34344469
123,Tamil Nadu,Constituency_123,MP_Name_123,39345594
124,Delhi,Constituency_124,MP_Name_124,25954389
125,Uttar Pradesh,Constituency_125,MP_Name_125,27675993
126,Maharashtra,Constituency_126,MP_Name_126,40283598
127,Tamil Nadu,Constituency_127,MP_Name_127,30291817
128,Delhi,Constituency_128,MP_Name_128,48490110
129,Tamil Nadu,Constituency_129,MP_Name_129,26881695
130,Maharashtra,Constituency_130,MP_Name_130,37682974
131,Tamil Nadu,Constituency_131,MP_Name_131,26647179
132,Uttar Pradesh,Constituency_132,MP_Name_132,31653852
133,Tamil Nadu,Constituency_133,MP_Name_133,42382619
134,Delhi,Constituency_134,MP_Name_134,21741052
135,Tamil Nadu,Constituency_135,MP_Name_135,31012806
136,Uttar Pradesh,Constituency_136,MP_Name_136,33729305
137,Gujarat,Constituency_137,MP_Name_137,25386915
138,Gujarat,Constituency_138,MP_Name_138,23792331
139,Gujarat,Constituency_139,MP_Name_139,43263539
140,Karnataka,Constituency_140,MP_Name_140,40453046
141,Delhi,Constituency_141,MP_Name_141,20899166
142,Gujarat,Constituency_142,MP_Name_142,27959948
143,Karnataka,Constituency_143,MP_Name_143,23990514
144,Maharashtra,Constituency_144,MP_Name_144,26997130
145,Uttar Pradesh,Constituency_145,MP_Name_145,47168317
146,Karnataka,Constituency_146,MP_Name_146,35700225
147,Delhi,Constituency_147,MP_Name_147,33934878
148,Maharashtra,Constituency_148,MP_Name_148,27222320
149,Uttar Pradesh,Constituency_149,MP_Name_149,30376311
150,Karnataka,Constituency_150,MP_Name_150,33293866
151,Gujarat,Constituency_151,MP_Name_151,29332456
152,Delhi,Constituency_152,MP_Name_152,49303975
153,Karnataka,Constituency_153,MP_Name_153,48226123
154,Maharashtra,Constituency_154,MP_Name_154,42473957
155,Tamil Nadu,Constituency_155,MP_Name_155,27426846
156,Maharashtra,Constituency_156,MP_Name_156,23281956
157,Delhi,Constituency_157,MP_Name_157,27317598
158,Karnataka,Constituency_158,MP_Name_158,30986810
159,Uttar Pradesh,Constituency_159,MP_Name_159,28996061
160,Karnataka,Constituency_160,MP_Name_160,42614434
161,Uttar Pradesh,Constituency_161,MP_Name_161,38323712
162,Tamil Nadu,Constituency_162,MP_Name_162,28034863
163,Uttar Pradesh,Constituency_163,MP_Name_163,45223488
164,Karnataka,Constituency_164,MP_Name_164,28799959
165,Uttar Pradesh,Constituency_165,MP_Name_165,26318450
166,Gujarat,Constituency_166,MP_Name_166,41949620
167,Maharashtra,Constituency_167,MP_Name_167,24207595
168,Tamil Nadu,Constituency_168,MP_Name_168,20755274
169,Karnataka,Constituency_169,MP_Name_169,30610717
170,Maharashtra,Constituency_170,MP_Name_170,26334166
171,Delhi,Constituency_171,MP_Name_171,27132448
172,Tamil Nadu,Constituency_172,MP_Name_172,30774364
173,Gujarat,Constituency_173,MP_Name_173,44572923
174,Uttar Pradesh,Constituency_174,MP_Name_174,22124475
175,Karnataka,Constituency_175,MP_Name_175,43685363
176,Uttar Pradesh,Constituency_176,MP_Name_176,32701680
177,Uttar Pradesh,Constituency_177,MP_Name_177,45619963
178,Gujarat,Constituency_178,MP_Name_178,28235919
179,Tamil Nadu,Constituency_179,MP_Name_179,49682993
180,Delhi,Constituency_180,MP_Name_180,35661498
181,Karnataka,Constituency_181,MP_Name_181,28071111
182,Delhi,Constituency_182,MP_Name_182,23805937
183,Karnataka,Constituency_183,MP_Name_183,42353405
184,Tamil Nadu,Constituency_184,MP_Name_184,34408188
185,Gujarat,Constituency_185,MP_Name_185,34399894
186,Maharashtra,Constituency_186,MP_Name_186,23426143
187,Uttar Pradesh,Constituency_187,MP_Name_187,40990015
188,Maharashtra,Constituency_188,MP_Name_188,25536029
189,Gujarat,Constituency_189,MP_Name_189,38540703
190,Uttar Pradesh,Constituency_190,MP_Name_190,25688056
191,Delhi,Constituency_191,MP_Name_191,31641450
192,Karnataka,Constituency_192,MP_Name_192,20329873
193,Tamil Nadu,Constituency_193,MP_Name_193,35313737
194,Maharashtra,Constituency_194,MP_Name_194,38304145
195,Tamil Nadu,Constituency_195,MP_Name_195,35695597
196,Gujarat,Constituency_196,MP_Name_196,22863500
197,Karnataka,Constituency_197,MP_Name_197,30491994
198,Uttar Pradesh,Constituency_198,MP_Name_198,48341209
199,Tamil Nadu,Constituency_199,MP_Name_199,39022080
200,Karnataka,Constituency_200,MP_Name_200,42632090
201,Uttar Pradesh,Constituency_201,MP_Name_201,45184674
202,Delhi,Constituency_202,MP_Name_202,22447794
203,Karnataka,Constituency_203,MP_Name_203,45808360
204,Delhi,Constituency_204,MP_Name_204,40016136
205,Gujarat,Constituency_205,MP_Name_205,31471854
206,Uttar Pradesh,Constituency_206,MP_Name_206,33532225
207,Tamil Nadu,Constituency_207,MP_Name_207,48927052
208,Delhi,Constituency_208,MP_Name_208,29971603
209,Gujarat,Constituency_209,MP_Name_209,47545077
210,Gujarat,Constituency_210,MP_Name_210,27265115
211,Karnataka,Constituency_211,MP_Name_211,42887800
212,Delhi,Constituency_212,MP_Name_212,33691142
213,Tamil Nadu,Constituency_213,MP_Name_213,23222879
214,Tamil Nadu,Constituency_214,MP_Name_214,45194952
215,Maharashtra,Constituency_215,MP_Name_215,25514730
216,Maharashtra,Constituency_216,MP_Name_216,46118700
217,Karnataka,Constituency_217,MP_Name_217,20248261
218,Tamil Nadu,Constituency_218,MP_Name_218,41017892
219,Gujarat,Constituency_219,MP_Name_219,39841417
220,Gujarat,Constituency_220,MP_Name_220,26040595
221,Gujarat,Constituency_221,MP_Name_221,47359798
222,Delhi,Constituency_222,MP_Name_222,20076286
223,Uttar Pradesh,Constituency_223,MP_Name_223,43704473
224,Delhi,Constituency_224,MP_Name_224,33684197
225,Tamil Nadu,Constituency_225,MP_Name_225,43759017
226,Karnataka,Constituency_226,MP_Name_226,38806182
227,Uttar Pradesh,Constituency_227,MP_Name_227,24946121
228,Karnataka,Constituency_228,MP_Name_228,32052702
229,Delhi,Constituency_229,MP_Name_229,20740925
230,Maharashtra,Constituency_230,MP_Name_230,34942903
231,Karnataka,Constituency_231,MP_Name_231,45406673
232,Gujarat,Constituency_232,MP_Name_232,23204754
233,Gujarat,Constituency_233,MP_Name_233,35259459
234,Delhi,Constituency_234,MP_Name_234,21915642
235,Karnataka,Constituency_235,MP_Name_235,42033683
236,Karnataka,Constituency_236,MP_Name_236,49445807
237,Delhi,Constituency_237,MP_Name_237,36132761
238,Delhi,Constituency_238,MP_Name_238,39122874
239,Maharashtra,Constituency_239,MP_Name_239,42458086
240,Uttar Pradesh,Constituency_240,MP_Name_240,34014871
241,Uttar Pradesh,Constituency_241,MP_Name_241,45627115
242,Tamil Nadu,Constituency_242,MP_Name_242,35545708
243,Gujarat,Constituency_243,MP_Name_243,38580476
244,Tamil Nadu,Constituency_244,MP_Name_244,21551861
245,Gujarat,Constituency_245,MP_Name_245,35337940
